policy_number,producer_code,issued_state,named_insured_person_id,effective_first_term
CA-AUTO-2025-1035,P304,CA,b315e855-918a-4810-3c1c-7c6186858cc5,2025-06-01T00:00:00Z
CA-AUTO-2025-1036,P844,CA,9e3bc682-2642-4df1-95ec-60b27da85e63,2025-06-01T00:00:00Z
CA-AUTO-2025-1037,P576,CA,ed1dc848-192e-4f67-593a-7d31dbd9db6c,2025-06-01T00:00:00Z
CA-AUTO-2025-1038,P414,CA,8d74cbc3-8cc1-4f7f-2179-c9b49ba41705,2025-06-01T00:00:00Z
CA-AUTO-2025-1039,P660,CA,8ec08b87-3b93-4b93-cf74-ac673c08541a,2025-06-01T00:00:00Z
CA-AUTO-2025-1040,P441,CA,75dc8c09-55c9-4b58-bcfc-a17e0505d46d,2025-06-01T00:00:00Z
CA-AUTO-2025-1041,P751,CA,d1eae42b-c8d2-4732-6635-95f5c067cb30,2025-06-01T00:00:00Z
CA-AUTO-2025-1042,P881,CA,79d58a38-3ce7-48c8-47d2-fbf871c3f13b,2025-06-01T00:00:00Z
CA-AUTO-2025-1043,P151,CA,13c33272-80bb-475a-6e06-72624e49764b,2025-06-01T00:00:00Z
CA-AUTO-2025-1044,P544,CA,e41e746d-5f00-4c6e-771e-260a435303da,2025-06-01T00:00:00Z
CA-AUTO-2025-1045,P683,CA,e41e746d-5f00-4c6e-771e-260a435303da,2025-06-01T00:00:00Z
CA-AUTO-2025-1046,P509,CA,591f4ef1-b909-4bd5-f1b4-4739f61b7970,2025-06-01T00:00:00Z
CA-AUTO-2025-1047,P327,CA,025633d9-2661-41bf-dd11-6d62ba5ad689,2025-06-01T00:00:00Z
CA-AUTO-2025-1048,P955,CA,f171de90-5a0f-46b7-72e8-cd07d73bda15,2025-06-01T00:00:00Z
CA-AUTO-2025-1049,P379,CA,6501682b-5ead-4077-0844-db544195c7ee,2025-06-01T00:00:00Z
CA-AUTO-2025-1050,P609,CA,108120f3-18bd-42fe-9d63-e85e160e0d28,2025-06-01T00:00:00Z
CA-AUTO-2025-1051,P709,CA,7f780f35-af0e-4c3f-477a-621e1029039b,2025-06-01T00:00:00Z
CA-AUTO-2025-1052,P762,CA,7922f2cb-244e-4a44-37da-d28fab0bbb7f,2025-06-01T00:00:00Z
CA-AUTO-2025-1053,P632,CA,6b2b8dca-86ef-463c-b606-3c8240cf873d,2025-06-01T00:00:00Z
CA-AUTO-2025-1054,P833,CA,9eaa7da1-6096-49dc-eb43-013a841b9f6d,2025-06-01T00:00:00Z
CA-AUTO-2025-1055,P783,CA,96f93542-3ead-40b4-c857-7210347a12d2,2025-06-01T00:00:00Z
CA-AUTO-2025-1056,P494,CA,f132fd50-9ae7-45fd-35c1-3c90c957f8c7,2025-06-01T00:00:00Z
CA-AUTO-2025-1057,P229,CA,1344edd3-e06c-4998-353e-83ef86142bff,2025-06-01T00:00:00Z
CA-AUTO-2025-1058,P729,CA,cdf98f41-9c85-4352-1d99-36a483eed654,2025-06-01T00:00:00Z
CA-AUTO-2025-1059,P670,CA,91687eb7-41a5-4bad-1a17-4c8d85cfca36,2025-06-01T00:00:00Z
CA-AUTO-2025-1060,P383,CA,ff86c0c6-1cf5-42f0-fb5b-d8057985ecd7,2025-06-01T00:00:00Z
CA-AUTO-2025-1061,P279,CA,174457e9-0c27-4046-768d-788a037347d2,2025-06-01T00:00:00Z
CA-AUTO-2025-1062,P829,CA,9f570c44-8556-4337-b5d9-ac8062c7c643,2025-06-01T00:00:00Z
CA-AUTO-2025-1063,P804,CA,41d18437-323d-40d9-52e0-de0dc9bcfccd,2025-06-01T00:00:00Z
CA-AUTO-2025-1064,P911,CA,18be0041-fecb-49f7-add7-4ab51e34fced,2025-06-01T00:00:00Z
CA-AUTO-2025-1065,P752,CA,8a0f6284-5e12-42f7-118f-e4b372ad0c12,2025-06-01T00:00:00Z
CA-AUTO-2025-1066,P359,CA,da81d284-4c24-49a2-873f-a3e4f22080d4,2025-06-01T00:00:00Z
CA-AUTO-2025-1067,P596,CA,5a478704-76b0-4127-2ae6-0bc452a45bda,2025-06-01T00:00:00Z
CA-AUTO-2025-1068,P124,CA,86de39cd-04d9-47da-4008-65a95ae52274,2025-06-01T00:00:00Z
CA-AUTO-2025-1069,P888,CA,9e3bc682-2642-4df1-95ec-60b27da85e63,2025-06-01T00:00:00Z
CA-AUTO-2025-1070,P364,CA,bb0055fc-296c-4ba6-a3da-6bad0b3a5dab,2025-06-01T00:00:00Z
CA-AUTO-2025-1071,P356,CA,37344690-8396-40a6-2989-9149e9736835,2025-06-01T00:00:00Z
CA-AUTO-2025-1072,P221,CA,71fbcbf3-451b-466d-4828-98d0de9df9f6,2025-06-01T00:00:00Z
CA-AUTO-2025-1073,P729,CA,108120f3-18bd-42fe-9d63-e85e160e0d28,2025-06-01T00:00:00Z
CA-AUTO-2025-1074,P547,CA,9ec41ebe-5cc5-407d-4b9e-7c6235a96c6a,2025-06-01T00:00:00Z
CA-AUTO-2025-1075,P248,CA,be0454b8-4619-4feb-0bc8-2b73373ffd59,2025-06-01T00:00:00Z
CA-AUTO-2025-1076,P721,CA,1d7a8ba8-3c9e-4105-3d4a-5afe741543b5,2025-06-01T00:00:00Z
CA-AUTO-2025-1077,P149,CA,69fe6d37-e5b3-447d-b55e-b13ca0e26e30,2025-06-01T00:00:00Z
CA-AUTO-2025-1078,P779,CA,7ee7c010-bd1b-4eab-5ebc-25be729ea82c,2025-06-01T00:00:00Z
CA-AUTO-2025-1079,P601,CA,6ca75355-2145-4fd9-331c-c1497fc2c914,2025-06-01T00:00:00Z
CA-AUTO-2025-1080,P180,CA,2cf6dc79-37f0-4094-1c4f-530a6db83206,2025-06-01T00:00:00Z
CA-AUTO-2025-1081,P875,CA,8887c111-fb9c-43bc-a3f7-af224cb1554b,2025-06-01T00:00:00Z
CA-AUTO-2025-1082,P252,CA,87df1440-0358-4174-a5bc-fb984d1c63f6,2025-06-01T00:00:00Z
CA-AUTO-2025-1083,P743,CA,11bf0ee1-06e3-4dfc-8e88-9d903f5772b0,2025-06-01T00:00:00Z
CA-AUTO-2025-1084,P230,CA,aac062a1-febc-44aa-732e-009c58da3c3b,2025-06-01T00:00:00Z
CA-AUTO-2025-1085,P300,CA,e2a59dc1-17f7-4a2a-bf58-5c5869e8a95a,2025-06-01T00:00:00Z
CA-AUTO-2025-1086,P484,CA,2a16b74f-3eef-4a91-03a2-098e79410382,2025-06-01T00:00:00Z
CA-AUTO-2025-1087,P224,CA,108120f3-18bd-42fe-9d63-e85e160e0d28,2025-06-01T00:00:00Z
CA-AUTO-2025-1088,P253,CA,45ab1d21-bbec-4dca-568f-3734497b457d,2025-06-01T00:00:00Z
CA-AUTO-2025-1089,P292,CA,5a478704-76b0-4127-2ae6-0bc452a45bda,2025-06-01T00:00:00Z
CA-AUTO-2025-1090,P686,CA,66f7d402-6a6f-42bf-81c2-0b020062a63c,2025-06-01T00:00:00Z
CA-AUTO-2025-1091,P370,CA,7a9da7b9-bff1-4173-c56a-6b092e61c30e,2025-06-01T00:00:00Z
CA-AUTO-2025-1092,P879,CA,51c34ce4-d652-4c17-42c1-0826e485c406,2025-06-01T00:00:00Z
CA-AUTO-2025-1093,P786,CA,b743d060-9523-4e55-ddfa-7f0e3c57a23f,2025-06-01T00:00:00Z
CA-AUTO-2025-1094,P246,CA,fb4be76b-4c7e-420b-26af-35961e43c2f0,2025-06-01T00:00:00Z
CA-AUTO-2025-1095,P917,CA,57d836de-2d6c-4463-c2e0-66dc51b91b61,2025-06-01T00:00:00Z
CA-AUTO-2025-1096,P778,CA,0645ad96-873c-4f01-0119-f74cf60519e2,2025-06-01T00:00:00Z
CA-AUTO-2025-1097,P192,CA,6d9844b1-96c7-41ff-39dc-ff80e4ed063a,2025-06-01T00:00:00Z
CA-AUTO-2025-1098,P278,CA,d931f919-4659-4a2d-04b1-ccfd6ea66231,2025-06-01T00:00:00Z
CA-AUTO-2025-1099,P478,CA,8df4c56e-26eb-44ed-9714-935e37b01972,2025-06-01T00:00:00Z
CA-AUTO-2025-1100,P767,CA,249982c3-668a-4325-76eb-a662658ae281,2025-06-01T00:00:00Z
CA-AUTO-2025-1101,P403,CA,80a40a0c-f2cf-4cda-656d-6cc36c5f5cd0,2025-06-01T00:00:00Z
CA-AUTO-2025-1102,P962,CA,025633d9-2661-41bf-dd11-6d62ba5ad689,2025-06-01T00:00:00Z
CA-AUTO-2025-1103,P488,CA,48b3f18b-b1fe-4e11-d586-8e5aed57b0b1,2025-06-01T00:00:00Z
CA-AUTO-2025-1104,P321,CA,0af5bdeb-be26-4890-4cc8-652acc722a68,2025-06-01T00:00:00Z
CA-AUTO-2025-1105,P797,CA,050d01f5-27a3-4dcb-522c-f5283125f4a0,2025-06-01T00:00:00Z
CA-AUTO-2025-1106,P253,CA,c6cf41ae-373f-4933-bcbf-59679cb800d6,2025-06-01T00:00:00Z
CA-AUTO-2025-1107,P480,CA,40aa4768-f489-4908-1515-276d1ab9883c,2025-06-01T00:00:00Z
CA-AUTO-2025-1108,P646,CA,fac2c16f-d8fd-4884-42d4-0df047369e42,2025-06-01T00:00:00Z
CA-AUTO-2025-1109,P737,CA,3aef139e-7a4e-4872-80d6-d6e1dbfd2efc,2025-06-01T00:00:00Z
CA-AUTO-2025-1110,P620,CA,48811e37-625a-4b6b-e429-fc3ea7398426,2025-06-01T00:00:00Z
CA-AUTO-2025-1111,P338,CA,5d3982b8-0656-495a-9c7f-29253ec9eabd,2025-06-01T00:00:00Z
CA-AUTO-2025-1112,P381,CA,be0454b8-4619-4feb-0bc8-2b73373ffd59,2025-06-01T00:00:00Z
CA-AUTO-2025-1113,P523,CA,36984733-e34c-466d-643e-38a17544d1c9,2025-06-01T00:00:00Z
CA-AUTO-2025-1114,P702,CA,1d7a8ba8-3c9e-4105-3d4a-5afe741543b5,2025-06-01T00:00:00Z
CA-AUTO-2025-1115,P239,CA,dcef69f1-3808-4f36-27c1-e06187b66191,2025-06-01T00:00:00Z
CA-AUTO-2025-1116,P210,CA,e41e746d-5f00-4c6e-771e-260a435303da,2025-06-01T00:00:00Z
CA-AUTO-2025-1117,P378,CA,51c34ce4-d652-4c17-42c1-0826e485c406,2025-06-01T00:00:00Z
CA-AUTO-2025-1118,P766,CA,8a0f6284-5e12-42f7-118f-e4b372ad0c12,2025-06-01T00:00:00Z
CA-AUTO-2025-1119,P285,CA,36984733-e34c-466d-643e-38a17544d1c9,2025-06-01T00:00:00Z
