damage_id,vin,claim_number,estimate_amount,is_driveable,is_total_loss,repair_facility_id
401af4a3-b5e5-4f3a-e3d6-8c88ce508dd1,1HG65173161355778,CA-2026-1000025,1435.51,true,false,RF-774
c35d3a74-492c-4527-1ee9-81159dbf402b,1HG11102825636044,CA-2026-1000026,4469.88,true,false,RF-192
2c691ee7-8715-4c9c-daef-6e6adc703fb8,1HG10341232526116,CA-2026-1000027,8159.84,true,false,RF-279
1903bf8c-ea98-4d5f-1d46-d04e7e8bbd6a,1HG94858008716255,CA-2026-1000028,1785.92,true,false,RF-849
8260743f-ba40-4db3-ead8-3fa662e901eb,1HG36275080917403,CA-2026-1000029,5894.32,true,false,RF-801
53e06b19-781a-4294-20ef-69095f342a13,1HG67784502170979,CA-2026-1000030,6424.02,true,false,RF-893
a09114a3-022e-4be8-230b-82b18d2bd741,1HG14148858562111,CA-2026-1000031,3819.36,true,false,RF-141
9a36f901-6036-4a31-acd9-8d9216f7bf10,1HG92161830584518,CA-2026-1000032,9220.06,true,false,RF-994
94a3acc6-7125-4dd2-1241-bf3043c14f89,1HG43939007096923,CA-2026-1000033,3674.73,true,false,RF-912
984ee863-202f-423f-dced-fff2d7bc9a35,1HG68918336345814,CA-2026-1000034,2940.52,true,false,RF-726
54951b22-b8b2-42a8-34ef-8607a7bd5d27,1HG27210394223220,CA-2026-1000035,5421.84,true,false,RF-641
0892ca88-3415-4f93-b5bc-7a58840c5b15,1HG36275080917403,CA-2026-1000036,3683.46,true,false,RF-839
873f9374-ebb8-4eff-7c0c-4883e4c1cc92,1HG26078763324767,CA-2026-1000037,5329.25,true,false,RF-195
918a1298-e861-4fe1-6f70-45947d26e95b,1HG09654744225554,CA-2026-1000038,2570.68,true,false,RF-898
6af0c538-e318-47cf-be65-eeff551534de,1HG48963962239213,CA-2026-1000039,8236.25,false,true,RF-660
d0a4d3bc-c5d1-47fa-af1e-dbb5bd1f2a7a,1HG78050627978518,CA-2026-1000040,5993.19,true,false,RF-481
8d80a224-0420-48cb-ed52-21c841ad38be,1HG78279062849469,CA-2026-1000041,4595.38,true,false,RF-732
4784d4fe-92b3-4e92-1377-087f8167a85c,1HG82330628088675,CA-2026-1000042,7977.38,true,false,RF-377
476c5033-f244-496e-9b68-673155042edd,1HG37879177555441,CA-2026-1000043,6062.87,true,false,RF-964
37392ab0-d04d-4df3-f372-1072c1fbbb95,1HG73683902551420,CA-2026-1000044,3879.35,true,false,RF-331
ae2f09d1-fa04-4882-b99b-75249894d5d5,1HG72175474814139,CA-2026-1000045,4712.41,true,false,RF-146
cfcdc066-bb3e-4216-f926-31e47106433e,1HG14156001736409,CA-2026-1000046,3799.52,true,false,RF-276
d270f3ae-caad-4aa3-03b6-2f9269cd9bdd,1HG38743117125704,CA-2026-1000047,7086.46,true,false,RF-512
c20bf9ed-ef9f-4154-93bf-605f45ceb65e,1HG37879177555441,CA-2026-1000048,5339.04,true,false,RF-434
66045b53-2496-44f8-f636-5251dab96944,1HG92420553509145,CA-2026-1000049,3576.1,true,false,RF-717
b0629d85-d669-4917-523c-8e0c1a3f9aad,1HG56416249321773,CA-2026-1000050,16435.37,false,true,RF-891
a6a0009d-d3c8-478e-292b-9302645ef6f8,1HG67784502170979,CA-2026-1000051,22825.18,false,true,RF-157
6e6aaebc-6afc-4cbd-9cbe-ad825de8d034,1HG01565469545312,CA-2026-1000052,4727.98,true,false,RF-163
16e9ff77-d73b-4816-1000-d8afb62d5aea,1HG18602997995913,CA-2026-1000053,4630.2,true,false,RF-214
14a09e46-4ce7-43f3-2597-12f5427a0f47,1HG74524206691421,CA-2026-1000054,2016.95,true,false,RF-232
4fab6249-855a-43ae-a7ff-2487e572e5d7,1HG52051087841391,CA-2026-1000055,5232.94,true,false,RF-620
af6ab77b-100e-4067-e616-64797c199f9e,1HG37376059824600,CA-2026-1000056,3450.12,true,false,RF-989
ebee35a0-5f74-4fd7-a520-959a9bfffee8,1HG65671578398905,CA-2026-1000057,6827.71,true,false,RF-191
68a39dbb-ed04-42ca-8ae1-edabc8ba2c0a,1HG66632919316180,CA-2026-1000058,2807.25,true,false,RF-343
c36988cf-1c5f-40b4-69ef-8b8eae90f999,1HG41483992687426,CA-2026-1000059,2578.3,true,false,RF-102
09035d09-7e36-455a-e9e7-489de529c41e,1HG17486151936464,CA-2026-1000060,5268.65,true,false,RF-782
be9a85a5-dc46-4599-3e4c-0736fcdc69a5,1HG46375511237420,CA-2026-1000061,27835.76,false,true,RF-574
1714ce67-9869-4470-0abf-94a0951af0ad,1HG47493818006478,CA-2026-1000062,5167.32,true,false,RF-939
d51641d2-20ee-4a80-445b-b2fad6952863,1HG19844831433147,CA-2026-1000063,18863.35,false,true,RF-752
621dec69-12f2-474b-84b5-770b7751f82c,1HG13272628351114,CA-2026-1000064,26372.69,false,true,RF-348
5e3aead3-2aa8-4e7f-bb7a-52d2c5a3a4f9,1HG73683902551420,CA-2026-1000065,27043.24,false,true,RF-614
c2734e04-cf3e-4221-19fc-9abc5bc1558d,1HG77979300869628,CA-2026-1000066,7713.4,true,false,RF-951
514af388-9f0e-484f-668d-8165dae3bae8,1HG23685072269290,CA-2026-1000067,4854.39,true,false,RF-655
abe54558-cba1-4f77-2f0e-864420e5ff9b,1HG48016632138751,CA-2026-1000068,2817.97,true,false,RF-260
d64228f5-2e25-4244-4655-a27ef662ac6f,1HG92420553509145,CA-2026-1000069,17312.7,false,true,RF-613
76576536-33de-4fb0-6021-fdfebf87e0bb,1HG24430487700738,CA-2026-1000070,2849.65,true,false,RF-464
abe3b122-f3fa-4651-9932-17856de423a4,1HG96955777122639,CA-2026-1000071,8548.95,false,true,RF-649
973c9a3c-222c-450d-9cd7-dbcfa2a1580e,1HG41483992687426,CA-2026-1000072,10437.53,true,false,RF-105
695273bf-5656-4020-fe15-f583ac2a0c70,1HG10587657080031,CA-2026-1000073,1698.56,true,false,RF-497
c8a0e03a-811f-4ed2-0427-75e1593f3e11,1HG47493818006478,CA-2026-1000074,7249.07,true,false,RF-769
97d641ca-b1d6-4b67-7a8c-a8e454c86891,1HG29926044656895,CA-2026-1000075,6073.93,true,false,RF-569
a22863d3-5485-41cb-fb0d-46856fd3fc44,1HG94858008716255,CA-2026-1000076,16430.23,false,true,RF-999
f01ba748-1223-48b0-e010-27d902b504c7,1HG82640720647759,CA-2026-1000077,6845.54,true,false,RF-508
9f6b7373-3d31-4c3c-17f5-ca50a347fd44,1HG20675559132359,CA-2026-1000078,1663.03,true,false,RF-534
e6980db3-bcb5-4246-57a7-c3e198434467,1HG87191083352081,CA-2026-1000079,2081.25,true,false,RF-189
fae2f71c-9e87-4281-039d-e03d2873e4e5,1HG96955777122639,CA-2026-1000080,2898.84,true,false,RF-431
d5df078e-46da-40ad-b0d3-ae61ba29c431,1HG45726010925136,CA-2026-1000081,2501.21,true,false,RF-995
f8608825-90c7-4fdb-1415-8fa8e2438f0a,1HG30108438595198,CA-2026-1000082,28845.95,false,true,RF-841
29ec0c01-29ca-458d-eaed-6ebe501a27c8,1HG45098959887400,CA-2026-1000083,4612.42,true,false,RF-950
e64a2e2a-29af-4c1c-6484-55973db4f65a,1HG48963962239213,CA-2026-1000084,5263.39,true,false,RF-189
037f98b2-5b2b-4065-39cf-56123de95d94,1HG73373884567990,CA-2026-1000085,7634.95,false,true,RF-488
d57f9b3a-9638-456e-4b13-7b69056cb8ed,1HG48963962239213,CA-2026-1000086,7197.56,true,false,RF-239
17594ccb-1643-4a6d-7e26-048353b88484,1HG89500937308184,CA-2026-1000087,6543.96,true,false,RF-295
75fb702d-ded2-4b40-7a06-2a266c6413e0,1HG92161830584518,CA-2026-1000088,2166.5,true,false,RF-890
ec62a924-0a35-4118-38ca-f1f7c9ed7be5,1HG78279062849469,CA-2026-1000089,2500.73,true,false,RF-174
ea22215b-7212-4d2e-4fc9-9cedf1bb3900,1HG47270451742224,CA-2026-1000090,4991.18,true,false,RF-572
6709ef1c-e10e-4d27-e73b-68421e916568,1HG14148858562111,CA-2026-1000091,5903.32,true,false,RF-342
4f27a773-ba53-4ed6-1284-7b36074a4814,1HG66632919316180,CA-2026-1000092,4792.54,true,false,RF-623
e21f0e61-d96d-4145-558e-55da6fd8be1a,1HG01378562534227,CA-2026-1000093,4812.1,true,false,RF-817
60957a11-b013-4d4e-b2a2-3d53504f7ba0,1HG32921946630813,CA-2026-1000094,6459.81,true,false,RF-211
18975a77-9b47-45ae-3c19-f9072892d4c5,1HG22014972358010,CA-2026-1000095,4338.87,true,false,RF-482
889a7fac-5c0d-4954-564a-b417ee21578f,1HG47748700855299,CA-2026-1000096,4907.87,false,true,RF-262
7be91246-61e1-4070-6f64-1fd51e10ac8a,1HG43783786077983,CA-2026-1000097,10424.36,false,true,RF-421
7f26a15c-d056-4da1-7bd4-6d541a925985,1HG23685072269290,CA-2026-1000098,3281.55,true,false,RF-716
8e082def-c87c-4160-3298-78e6b740a95d,1HG62390112574212,CA-2026-1000099,6976.37,true,false,RF-940
