claim_number,loss_event_id,term_id,reported_at,date_of_loss,reporting_channel,status,line_of_business,severity_tier,total_incurred,fraud_score,assigned_adjuster_id
CA-2026-1000052,f7a1bbc6-1421-491d-8618-e640c3fe9c74,09f2638e-b8ac-4f41-5c00-a8e6c8e12bc0,2025-08-22T23:09:48Z,2025-08-19T23:09:48Z,Telematics,PendingPayment,PersonalAuto,Low,4727.98,0.04,ADJ-0003
CA-2026-1000053,ab037918-0549-4ada-f8e3-dc907df748af,e5f87051-3362-4749-e191-f73a4292ca59,2026-07-02T07:01:57Z,2026-07-02T07:01:57Z,Agent,Open,PersonalAuto,Medium,4630.2,0.18,ADJ-0005
CA-2026-1000054,8182af28-5ed9-4794-8add-0c65f3d9898c,9e98b4e0-9b3a-4fa1-95cc-33ac4826a9be,2026-03-31T07:18:46Z,2026-03-28T07:18:46Z,Agent,Open,PersonalAuto,Medium,2016.95,0.09,ADJ-0003
CA-2026-1000055,cb8aa769-460e-46ea-4554-f7dd5b93250c,19424852-8fc0-40e4-cb5f-bac34b88bf06,2026-07-06T10:12:00Z,2026-07-06T10:12:00Z,Web,Closed,PersonalAuto,Low,5232.94,0.25,ADJ-0008
CA-2026-1000056,eb2e5564-6919-475f-b366-c7d63220ec0d,c5f0098c-3a6c-4bd4-de7a-7de48a7b305d,2026-03-06T06:25:18Z,2026-03-03T06:25:18Z,Agent,UnderInvestigation,PersonalAuto,Low,3450.12,0.47,ADJ-0007
CA-2026-1000057,d8b0f7f2-ae79-4322-2aed-fe160833fc92,b4786ee3-c0d4-4e6c-0a1a-02eda3618dfd,2026-02-15T04:12:57Z,2026-02-14T04:12:57Z,Agent,Closed,PersonalAuto,Low,6827.71,0.15,ADJ-0006
CA-2026-1000058,63ab0f9d-e932-47aa-b032-61604cb1a31d,829a6958-a888-43c1-309b-fb3983d185f2,2026-06-21T20:31:39Z,2026-06-19T20:31:39Z,Chatbot,PendingCoverageDecision,PersonalAuto,Medium,2807.25,0.23,ADJ-0008
CA-2026-1000059,78a53842-995f-4f38-eedb-56803a47783b,90036fe3-6add-47a2-8b2b-231357953aa3,2026-02-12T15:35:53Z,2026-02-09T15:35:53Z,Telematics,Open,PersonalAuto,Medium,2578.3,0.11,ADJ-0004
CA-2026-1000060,04313334-d636-4acf-fcf7-69296ca36ae0,6a7d2606-73dc-4f6c-d01c-eaf2ab8015a7,2025-09-13T06:59:53Z,2025-09-11T06:59:53Z,Chatbot,PendingCoverageDecision,PersonalAuto,Low,5268.65,0.08,ADJ-0006
CA-2026-1000061,b525ba85-21aa-4ed3-90df-37acf72ba15b,67a76ae5-6ee0-4302-dc1f-86fa186ebe73,2025-10-21T07:38:11Z,2025-10-20T07:38:11Z,Telematics,Open,PersonalAuto,High,27835.76,0.22,ADJ-0006
CA-2026-1000062,d825723e-c5d8-46e3-e71e-4a2adc38b8f4,b47f10f4-7c09-45fd-d4e5-f779ad8d3f76,2026-04-09T07:52:14Z,2026-04-06T07:52:14Z,Telematics,Open,PersonalAuto,Medium,5167.32,0.06,ADJ-0010
CA-2026-1000063,ce999db9-97f3-41e2-65ce-24731981a79d,271065f2-8732-4e70-a11e-5a38d1d3e949,2025-08-29T19:44:04Z,2025-08-29T19:44:04Z,Chatbot,Closed,PersonalAuto,High,18863.35,0.07,ADJ-0009
CA-2026-1000064,cc2bbe78-10b7-424f-c7e4-f6c6252152a0,5c19f660-eddf-4919-ff71-8453e03e8ad8,2026-05-25T21:17:03Z,2026-05-25T21:17:03Z,Chatbot,Open,PersonalAuto,High,26372.69,0.09,ADJ-0004
CA-2026-1000065,bd89226a-6daa-4553-2cb3-32c933af0ee9,3e89c2ea-b364-43a8-de37-4a4edfdb2c2c,2026-09-21T02:51:00Z,2026-09-18T02:51:00Z,Agent,Closed,PersonalAuto,High,27043.24,0.08,ADJ-0004
CA-2026-1000066,4913c9b2-87d5-44ce-b951-d47c10a981b0,94984395-0c9e-4759-d272-234f79eae14b,2026-09-13T10:31:58Z,2026-09-10T10:31:58Z,Chatbot,PendingCoverageDecision,PersonalAuto,Medium,7713.4,0.7,ADJ-0007
CA-2026-1000067,51f9c8f1-f516-40aa-8191-d3e1b62fd92f,5a558f38-0367-4401-e137-55198a618c60,2025-08-03T09:19:57Z,2025-07-31T09:19:57Z,MobileApp,PendingCoverageDecision,PersonalAuto,Medium,4854.39,0.16,ADJ-0003
CA-2026-1000068,4db0e521-78e2-4ad3-152a-67e12597de68,ed11ab29-36a4-40bd-d185-0e4a2db43d73,2026-05-29T04:43:20Z,2026-05-29T04:43:20Z,Telematics,UnderInvestigation,PersonalAuto,Medium,2817.97,0.18,ADJ-0009
CA-2026-1000069,e4b844dc-0840-4291-6ed1-4e070bee3669,55786be6-34d7-4b5a-ba68-06362721a8f2,2025-09-22T00:18:20Z,2025-09-21T00:18:20Z,MobileApp,Closed,PersonalAuto,High,17312.7,0.48,ADJ-0005
CA-2026-1000070,a505a22e-9392-42f8-cc84-bbc0bb0e486b,1d3d724b-9f8e-4171-cbfc-5f4a7c53e59e,2025-07-07T13:50:15Z,2025-07-06T13:50:15Z,Telematics,PendingCoverageDecision,PersonalAuto,Low,2849.65,0.1,ADJ-0005
CA-2026-1000071,5a65df7a-a0bc-4f8b-8c54-60e54124680f,7971781d-675b-4aec-c7cb-bb286f6d0991,2025-11-30T10:30:29Z,2025-11-29T10:30:29Z,Telematics,UnderInvestigation,PersonalAuto,High,8548.95,0.04,ADJ-0010
CA-2026-1000072,3a36ba3c-ec28-41b2-39dc-3dabd3dc062c,19991699-8290-4354-5417-5c247fe99189,2025-07-25T00:46:26Z,2025-07-24T00:46:26Z,Agent,UnderInvestigation,PersonalAuto,Medium,10437.53,0.18,ADJ-0002
CA-2026-1000073,967c4b52-eb7c-4bdc-680e-554970eab666,b00030f3-694e-4d47-b33b-3bffa0a9435f,2026-04-23T05:19:08Z,2026-04-22T05:19:08Z,Web,PendingPayment,PersonalAuto,Low,1698.56,0.12,ADJ-0005
CA-2026-1000074,6ec003d8-f720-48a6-247e-b9f5f8ef5bba,65af624f-fa69-44f3-4dc1-a38b0e249ed4,2025-09-20T00:57:50Z,2025-09-18T00:57:50Z,Phone,Open,PersonalAuto,Low,7249.07,0.02,ADJ-0002
CA-2026-1000075,bff5df20-2aca-4b64-d298-b2133419b3ae,d78a6012-8f98-411a-3b10-59df15cc54f4,2026-05-16T23:27:21Z,2026-05-15T23:27:21Z,Agent,PendingCoverageDecision,PersonalAuto,Medium,6073.93,0.14,ADJ-0001
CA-2026-1000076,3d76c290-94ec-4d1a-1c61-57787c0661c2,018d59a0-8777-4a70-f01f-de64c595eab1,2025-12-15T09:16:50Z,2025-12-14T09:16:50Z,Telematics,Closed,PersonalAuto,High,16430.23,0.1,ADJ-0008
CA-2026-1000077,7ee990ef-3c48-43d9-2f31-6d548ca8e2c1,018d59a0-8777-4a70-f01f-de64c595eab1,2026-01-01T13:01:08Z,2025-12-29T13:01:08Z,Phone,PendingCoverageDecision,PersonalAuto,Low,6845.54,0.21,ADJ-0006
CA-2026-1000078,40d57e44-e752-410f-44dc-c303b1b9f6a1,1d3d724b-9f8e-4171-cbfc-5f4a7c53e59e,2025-10-02T10:59:31Z,2025-09-29T10:59:31Z,Telematics,UnderInvestigation,PersonalAuto,Low,1663.03,0.2,ADJ-0001
CA-2026-1000079,4263ac72-bc92-4014-7791-a9e378d63b7c,09f2638e-b8ac-4f41-5c00-a8e6c8e12bc0,2025-10-01T11:08:10Z,2025-09-28T11:08:10Z,Chatbot,Open,PersonalAuto,Low,2081.25,0.02,ADJ-0004
CA-2026-1000080,49ea17c4-efbc-42d8-816e-b6865c444abb,3affd314-e909-4f39-4142-20c9e5621fd0,2025-08-16T09:35:30Z,2025-08-16T09:35:30Z,Telematics,PendingCoverageDecision,PersonalAuto,Medium,2898.84,0.15,ADJ-0009
CA-2026-1000081,f7c0ac36-5ebd-4af3-b91a-b760f78944f4,df3ef903-2d0c-4849-6a70-f8ea361ffb2d,2025-08-08T13:02:48Z,2025-08-05T13:02:48Z,Telematics,Open,PersonalAuto,Medium,2501.21,0.08,ADJ-0005
CA-2026-1000082,c398b36d-9a0f-4d66-d0f3-662699255064,018d59a0-8777-4a70-f01f-de64c595eab1,2025-11-28T18:23:26Z,2025-11-27T18:23:26Z,Agent,PendingCoverageDecision,PersonalAuto,High,28845.95,0.02,ADJ-0002
CA-2026-1000083,781f2d21-2cab-401d-d45f-4ac1767bcb68,180d9718-7d59-4b09-5cd6-c1b223565d16,2026-05-02T14:21:26Z,2026-04-29T14:21:26Z,Agent,PendingCoverageDecision,PersonalAuto,Low,4612.42,0.09,ADJ-0002
CA-2026-1000084,88abb98f-0b6d-4fd0-398a-1d3d6146c34b,becf7244-872e-478b-2db8-c3de0da7ba86,2026-01-18T00:37:57Z,2026-01-18T00:37:57Z,Telematics,Closed,PersonalAuto,Low,5263.39,0.02,ADJ-0006
CA-2026-1000085,3b0e0c90-4e0a-416e-25d1-eab3b513d913,c5ace505-5079-408e-587b-e18d451a782b,2026-02-13T03:56:49Z,2026-02-12T03:56:49Z,Phone,PendingPayment,PersonalAuto,High,7634.95,0.01,ADJ-0007
CA-2026-1000086,ef4dfe43-fc43-4d2b-8917-de98ee02c654,df3ef903-2d0c-4849-6a70-f8ea361ffb2d,2025-12-12T13:58:14Z,2025-12-11T13:58:14Z,Chatbot,PendingPayment,PersonalAuto,Low,7197.56,0.15,ADJ-0005
CA-2026-1000087,a78868ce-95ee-478c-96b5-06ede3830db4,b00030f3-694e-4d47-b33b-3bffa0a9435f,2025-07-07T22:13:31Z,2025-07-07T22:13:31Z,Agent,PendingPayment,PersonalAuto,Low,6543.96,0.22,ADJ-0005
CA-2026-1000088,c31d3310-dd0e-4378-7d34-75b1f3d7f822,00bea415-91ff-4912-738a-a62900690ad2,2026-02-23T22:04:02Z,2026-02-20T22:04:02Z,Phone,Open,PersonalAuto,Medium,2166.5,0.14,ADJ-0001
CA-2026-1000089,aafb43ee-1485-4ea9-3d58-dfb4ba6ca82d,4105d0cf-fc3a-44c2-7c9a-af1a989a96f5,2026-06-16T10:43:38Z,2026-06-13T10:43:38Z,Phone,UnderInvestigation,PersonalAuto,Medium,2500.73,0.86,ADJ-0008
CA-2026-1000090,c6bf3a65-1fa8-4e8b-f4cd-1d70a0b65d6d,a510fb31-62e7-4c63-56f3-4a02c59baa7c,2026-05-20T02:04:15Z,2026-05-20T02:04:15Z,Phone,Closed,PersonalAuto,Medium,4991.18,0.13,ADJ-0008
CA-2026-1000091,654a7d2e-d734-4c88-f437-56bfce62a994,3e89c2ea-b364-43a8-de37-4a4edfdb2c2c,2026-02-14T14:55:54Z,2026-02-14T14:55:54Z,Web,Closed,PersonalAuto,Low,5903.32,0.24,ADJ-0009
CA-2026-1000092,340151fd-343c-45e0-514b-9695e07b44c0,df3ef903-2d0c-4849-6a70-f8ea361ffb2d,2026-04-11T03:44:35Z,2026-04-11T03:44:35Z,MobileApp,UnderInvestigation,PersonalAuto,Medium,4792.54,0.05,ADJ-0005
CA-2026-1000093,4c11e85f-d518-4dd4-fc53-62d58bbf6e75,b8979cd3-6713-4700-a5aa-8a743598eeb6,2025-08-25T15:57:29Z,2025-08-23T15:57:29Z,Telematics,Closed,PersonalAuto,Low,4812.1,0.13,ADJ-0002
CA-2026-1000094,52f0a910-db0d-4ee9-ab77-8cb0ab4bf364,829a6958-a888-43c1-309b-fb3983d185f2,2026-06-16T02:47:15Z,2026-06-15T02:47:15Z,Web,PendingPayment,PersonalAuto,Medium,6459.81,0.12,ADJ-0008
CA-2026-1000095,7e54427f-77da-47a9-f101-093dbf4e69b8,c15461ca-1818-45b5-0a41-ce7d69f915f3,2025-07-17T04:03:43Z,2025-07-17T04:03:43Z,Web,PendingCoverageDecision,PersonalAuto,Medium,4338.87,0.02,ADJ-0002
CA-2026-1000096,86c020c9-82a5-47a8-9844-f9c89cac0efd,c3ec420c-8675-40d1-9245-7bd7e0f116e8,2025-10-12T17:22:39Z,2025-10-10T17:22:39Z,Chatbot,Open,PersonalAuto,High,4907.87,0.13,ADJ-0005
CA-2026-1000097,3f5887ad-0c5b-4ed4-7d33-784768d4a2d9,6cacae55-a2c8-473f-4143-cf6662ae10f2,2026-02-26T13:43:42Z,2026-02-26T13:43:42Z,Telematics,Closed,PersonalAuto,High,10424.36,0.06,ADJ-0004
CA-2026-1000098,9d020c4d-75ef-4114-59d8-36dd1c10ab31,67a76ae5-6ee0-4302-dc1f-86fa186ebe73,2026-08-20T08:42:29Z,2026-08-19T08:42:29Z,Chatbot,PendingPayment,PersonalAuto,Low,3281.55,0.43,ADJ-0010
CA-2026-1000099,d0983884-6116-4d3c-10ee-de7f64647745,74e68ada-c938-4105-cea4-fea2866e1500,2025-11-02T16:32:12Z,2025-10-30T16:32:12Z,Telematics,PendingPayment,PersonalAuto,Low,6976.37,0.21,ADJ-0002
