vin,owner_person_id,year,make,model,trim,body_style,current_odometer,acv
1HG10602335748262,a1130c37-9709-46fb-2301-149cd55c1ef0,2014,Nissan,Altima,LX,Coupe,90967,20381.7
1HG14148858562111,9e3bc682-2642-4df1-95ec-60b27da85e63,2022,Honda,Civic,LX,Van,48050,18178.66
1HG48963962239213,03a5c291-c96f-427a-3be1-6fe21c5dbfdd,2022,Ford,Escape,EX,Van,54271,9689.71
1HG52051087841391,99bf8016-a624-4d3f-e845-6609293107dd,2024,Toyota,Camry,EX,Van,73530,27120.04
1HG66632919316180,2572b215-db27-4e20-e5be-dc28bd41e3a5,2022,Toyota,Corolla,,Van,21047,13240.53
1HG37879177555441,11bf0ee1-06e3-4dfc-8e88-9d903f5772b0,2024,Ford,Escape,,Van,30785,10715.1
1HG69697000482119,67a6bb11-7a2f-4dbe-1b2f-129be7310bd0,2019,Nissan,Sentra,LE,Truck,79126,25702.99
1HG09531482844613,56cd6ac4-7dff-4be2-1c05-e48962b0b864,2018,Honda,Accord,Sport,Sedan,122684,30106.36
1HG14156001736409,7425c89c-bb3d-4a7c-b5fd-a3fd38c0744b,2018,Ford,Escape,SE,SUV,30826,14848.88
1HG72175474814139,bc3861c4-3621-4683-adae-2012ebf9b45e,2019,Ford,Fusion,LE,Truck,16384,11936.68
1HG45331200561486,a1130c37-9709-46fb-2301-149cd55c1ef0,2015,Nissan,Sentra,EX,Coupe,17569,10756.1
1HG44533004565164,ee56860d-1045-478d-8e09-2e0de99e7a0e,2022,Honda,CR-V,,Sedan,133879,14970.37
1HG58382987161166,d931f919-4659-4a2d-04b1-ccfd6ea66231,2014,Nissan,Sentra,LX,Coupe,58805,11742.45
1HG03349554934538,fbd65a49-bbf2-43de-de60-ea366f7779e6,2018,Chevrolet,Equinox,LE,SUV,68205,27400.45
1HG27547304355539,87f92835-814e-4e4d-fb92-4841089f9681,2017,Toyota,RAV4,SE,SUV,126726,28536.45
1HG65191588457673,37344690-8396-40a6-2989-9149e9736835,2017,Nissan,Rogue,,Truck,58117,16603.32
1HG61597303207963,dca07e4e-c367-4d82-0f75-bec281d74148,2015,Ford,Focus,LX,SUV,84354,12672.11
1HG10823925165459,9e3bc682-2642-4df1-95ec-60b27da85e63,2020,Honda,Civic,Sport,Coupe,118221,27733.31
1HG96955777122639,80a40a0c-f2cf-4cda-656d-6cc36c5f5cd0,2016,Honda,Civic,EX,Coupe,30072,10584.99
1HG36275080917403,85468efe-416f-448b-7f95-a66d4cfb61ed,2014,Honda,Civic,Sport,SUV,123751,25350.2
1HG74580074683763,fac2c16f-d8fd-4884-42d4-0df047369e42,2024,Honda,CR-V,,Van,19337,12941.75
1HG90471235453151,4e02f29d-cf60-45cf-e596-b634718ec68d,2014,Nissan,Altima,EX,Hatchback,97035,7650.39
1HG13272628351114,bc3861c4-3621-4683-adae-2012ebf9b45e,2024,Honda,CR-V,,SUV,25392,29302.98
1HG73433050583116,75dc8c09-55c9-4b58-bcfc-a17e0505d46d,2018,Honda,Accord,LE,Van,49431,9899.87
1HG56654995330609,11bf0ee1-06e3-4dfc-8e88-9d903f5772b0,2018,Chevrolet,Cruze,LX,SUV,74658,28417.56
1HG65958309150300,1049771d-e9e0-4feb-c2e0-0d02b47552e4,2016,Chevrolet,Equinox,LE,Truck,117030,25471.22
1HG58746058261021,2be26cc3-fee8-4d00-c3ab-8ca78fe15a93,2020,Ford,Escape,SE,Truck,123977,7341.62
1HG74524206691421,f467a414-299c-42d0-3b54-cdf4969b3c9e,2018,Ford,Escape,SE,Hatchback,45994,8425.65
1HG88540646876208,e41e746d-5f00-4c6e-771e-260a435303da,2014,Chevrolet,Cruze,LX,Hatchback,53400,6878.24
1HG24931442947126,9eaa7da1-6096-49dc-eb43-013a841b9f6d,2019,Honda,Accord,LE,Truck,108359,28802.24
1HG21336568845435,69fe6d37-e5b3-447d-b55e-b13ca0e26e30,2022,Toyota,Camry,LE,Hatchback,68238,20459.2
1HG65671578398905,d4e6be1f-005b-45ef-95af-70559d2005ae,2020,Honda,CR-V,Sport,Hatchback,60878,26401.25
1HG19844831433147,5a478704-76b0-4127-2ae6-0bc452a45bda,2018,Toyota,RAV4,Sport,Truck,91918,18863.35
1HG86967978021129,8bfff6b1-29d1-4cd6-ea25-3ff6933c79ab,2021,Toyota,RAV4,LE,Van,58268,6318.95
1HG75342879933305,d1eae42b-c8d2-4732-6635-95f5c067cb30,2021,Honda,Civic,SE,SUV,27931,21016.96
1HG53438622178509,bbce74d2-b270-4b76-2afd-2c350d687c94,2017,Ford,Fusion,,Van,84543,25997.22
1HG64066685945726,96f93542-3ead-40b4-c857-7210347a12d2,2014,Ford,Focus,SE,Coupe,45600,23117.02
1HG87191083352081,aac062a1-febc-44aa-732e-009c58da3c3b,2023,Nissan,Rogue,EX,Van,133640,13407.14
1HG98836219427175,20a3e4cd-d3d1-46c3-e887-1beb85a165ce,2015,Ford,Fusion,LE,Truck,82354,25633.11
1HG29781458457000,41d18437-323d-40d9-52e0-de0dc9bcfccd,2015,Ford,Fusion,LX,SUV,59414,29684.29
1HG02838211180642,6d9844b1-96c7-41ff-39dc-ff80e4ed063a,2022,Ford,Escape,LX,Hatchback,8986,7149.19
1HG16504820482805,4bdfda70-7b6b-4f63-1a37-7a43ba7eee40,2024,Nissan,Rogue,EX,SUV,26994,10931.23
1HG32364458194933,2fb319e6-68a7-4f61-4de3-f11a9ed6e49a,2016,Honda,Accord,SE,Truck,67810,11392.68
1HG38743117125704,c4cb8992-b546-44af-6f78-cce0c479c07d,2014,Toyota,Camry,EX,Sedan,133474,22744.18
1HG29926044656895,f0987c5e-0b74-4e97-6577-a526f2d40c56,2021,Nissan,Sentra,SE,Truck,115235,16545.3
1HG70455806027166,d4e6be1f-005b-45ef-95af-70559d2005ae,2016,Chevrolet,Cruze,,SUV,104886,14053.58
1HG02445701044052,5148ae27-25ac-4d1c-5eaf-473b8c740d22,2022,Nissan,Altima,LX,Coupe,91919,27370.56
1HG92420553509145,18be0041-fecb-49f7-add7-4ab51e34fced,2020,Nissan,Sentra,LE,SUV,104810,19024.94
1HG71355070150457,8ec08b87-3b93-4b93-cf74-ac673c08541a,2023,Honda,Accord,LX,Coupe,48267,12750.23
1HG40115197887644,5267ff5f-fa04-4d4e-ca13-aaf8de3c64be,2023,Nissan,Sentra,Sport,Sedan,46798,25395.3
1HG47748700855299,7fe5d937-8787-47cb-6162-06a5fe2bd22e,2018,Toyota,RAV4,SE,SUV,122874,6212.51
1HG01413713395595,9ec41ebe-5cc5-407d-4b9e-7c6235a96c6a,2019,Honda,CR-V,Sport,Hatchback,54772,20359.2
1HG93847205303609,9ec41ebe-5cc5-407d-4b9e-7c6235a96c6a,2019,Honda,CR-V,Sport,Sedan,103167,12787.89
1HG65173161355778,c82e581c-fbbc-4f44-0e1f-8b1b73723d18,2022,Nissan,Rogue,EX,Coupe,49345,11914.47
1HG45098959887400,1344edd3-e06c-4998-353e-83ef86142bff,2014,Ford,Fusion,EX,Truck,76877,25955.46
1HG89500937308184,3a4de816-47e7-47eb-a685-95fc5e4a8557,2022,Honda,CR-V,EX,Sedan,108573,30606.37
1HG10589087428525,f171de90-5a0f-46b7-72e8-cd07d73bda15,2021,Nissan,Sentra,LE,Sedan,36157,21496.92
1HG41483992687426,4bdfda70-7b6b-4f63-1a37-7a43ba7eee40,2024,Toyota,RAV4,SE,Van,114880,22531.82
1HG26078763324767,4e02f29d-cf60-45cf-e596-b634718ec68d,2020,Nissan,Sentra,LE,Coupe,137382,11296.31
1HG37787867430597,3aef139e-7a4e-4872-80d6-d6e1dbfd2efc,2021,Honda,Accord,Sport,Coupe,60794,11712.6
1HG43783786077983,b3f611a5-990a-44fc-9413-c0ec3675c645,2016,Toyota,Corolla,LE,Truck,133837,10858.71
1HG56340682809241,18be0041-fecb-49f7-add7-4ab51e34fced,2024,Nissan,Rogue,Sport,Hatchback,29831,11064.51
1HG40456866682507,d9705dc9-bff4-4eb1-3f46-a1bb76f73a4f,2022,Nissan,Rogue,LX,Coupe,14088,24258.18
1HG69815310207195,fb4be76b-4c7e-420b-26af-35961e43c2f0,2022,Ford,Focus,LX,SUV,134360,21426.24
1HG18602997995913,cdf98f41-9c85-4352-1d99-36a483eed654,2015,Chevrolet,Cruze,LX,Sedan,18408,25309.55
1HG24108679522760,7fe5d937-8787-47cb-6162-06a5fe2bd22e,2022,Toyota,RAV4,Sport,Hatchback,12348,16073.82
1HG31144463084638,07bcdf65-0180-45f5-da90-4ed9f4797e56,2015,Honda,Civic,LE,Truck,19097,10827.96
1HG28436610125936,dcef69f1-3808-4f36-27c1-e06187b66191,2016,Honda,Civic,SE,Hatchback,100734,11561.82
1HG34278920665383,48811e37-625a-4b6b-e429-fc3ea7398426,2023,Toyota,Corolla,LX,Van,123887,20169.59
1HG92161830584518,b743d060-9523-4e55-ddfa-7f0e3c57a23f,2017,Chevrolet,Equinox,,Sedan,59072,24117.11
1HG33725279406644,6b2b8dca-86ef-463c-b606-3c8240cf873d,2019,Nissan,Rogue,EX,Coupe,46265,8745.45
1HG45726010925136,bc3861c4-3621-4683-adae-2012ebf9b45e,2024,Chevrolet,Equinox,SE,Sedan,66001,14557.86
1HG24430487700738,6ca75355-2145-4fd9-331c-c1497fc2c914,2021,Toyota,Corolla,EX,Truck,118502,26701.41
1HG47270451742224,cdf98f41-9c85-4352-1d99-36a483eed654,2023,Ford,Focus,Sport,Hatchback,68778,24141.36
1HG94587991433218,b8a40978-b0e4-4707-8f15-c729c21aec9a,2020,Chevrolet,Equinox,Sport,SUV,17022,19597.36
1HG47511070058681,80a40a0c-f2cf-4cda-656d-6cc36c5f5cd0,2016,Ford,Focus,EX,Truck,47038,9032.83
1HG68918336345814,8f7354aa-0875-4c8b-329b-c0083f8133ca,2019,Nissan,Sentra,SE,SUV,67107,24614.32
1HG91390158375725,6ca75355-2145-4fd9-331c-c1497fc2c914,2021,Ford,Focus,LE,Truck,30303,8741
1HG22014972358010,36984733-e34c-466d-643e-38a17544d1c9,2017,Nissan,Rogue,Sport,Truck,116246,21793.29
1HG78558395477011,a377b8f3-698b-4384-210e-c48bf977b135,2017,Toyota,Corolla,Sport,Van,75941,21570.23
1HG82640720647759,050d01f5-27a3-4dcb-522c-f5283125f4a0,2023,Nissan,Rogue,SE,Coupe,98112,29567.75
1HG78050627978518,2572b215-db27-4e20-e5be-dc28bd41e3a5,2019,Toyota,RAV4,Sport,Hatchback,126849,30160.6
1HG82330628088675,0af5bdeb-be26-4890-4cc8-652acc722a68,2024,Toyota,Camry,SE,Sedan,48423,25305.19
1HG01275626430287,aac062a1-febc-44aa-732e-009c58da3c3b,2015,Honda,CR-V,,Truck,24305,19552.54
1HG33159006852656,37344690-8396-40a6-2989-9149e9736835,2022,Chevrolet,Malibu,SE,Van,123473,6993.92
1HG16061502066440,ee56860d-1045-478d-8e09-2e0de99e7a0e,2017,Honda,Accord,SE,Coupe,46689,7363.96
1HG61075597046874,5e359c3c-384c-488b-6f30-1e46bdb0b79c,2019,Toyota,Camry,,Hatchback,98847,29478.59
1HG14483509049750,e9a09424-698b-470e-8cc2-10cda2f0fe68,2022,Honda,Accord,SE,Truck,57868,18930.72
1HG62390112574212,3e15ce33-fb85-4083-0a25-4bcf1fa67fa5,2022,Chevrolet,Equinox,,SUV,36973,25573.86
1HG50368980085477,174457e9-0c27-4046-768d-788a037347d2,2020,Honda,CR-V,,Coupe,119320,25559.3
1HG93563074292615,e3c16252-6a48-400b-53dd-7905663b3315,2022,Nissan,Altima,SE,Van,50440,25722.31
1HG55888474639505,8f7354aa-0875-4c8b-329b-c0083f8133ca,2014,Toyota,Corolla,LX,Sedan,90967,18873.09
1HG57521622558124,0af5bdeb-be26-4890-4cc8-652acc722a68,2023,Ford,Escape,SE,Hatchback,12965,30268.02
1HG24751533707603,2d1def22-9438-4e09-1895-89f40223acb3,2023,Nissan,Rogue,Sport,SUV,31169,6191.77
1HG29381489823572,33f989e4-22c3-422a-d54d-653e1074ec17,2015,Ford,Fusion,SE,Van,86949,12630.7
1HG11102825636044,48b3f18b-b1fe-4e11-d586-8e5aed57b0b1,2017,Nissan,Altima,Sport,SUV,20329,11093.32
1HG09654744225554,8ec08b87-3b93-4b93-cf74-ac673c08541a,2020,Nissan,Sentra,EX,Coupe,58456,21938.35
1HG99528271122835,7ee6786b-6a83-4de5-b8c0-bda3963dbe13,2016,Toyota,Corolla,LX,SUV,30147,15583.45
1HG15285836812108,c4eaaf57-1985-4f7f-2cb7-2dc1db7fc5a7,2023,Honda,CR-V,SE,Truck,81209,18538.46
1HG25857161940075,2be26cc3-fee8-4d00-c3ab-8ca78fe15a93,2018,Chevrolet,Malibu,EX,Coupe,73256,23192.77
1HG10341232526116,0645ad96-873c-4f01-0119-f74cf60519e2,2018,Chevrolet,Cruze,SE,Sedan,123356,27823.32
1HG79343350161798,5267ff5f-fa04-4d4e-ca13-aaf8de3c64be,2023,Chevrolet,Equinox,SE,Truck,79589,24105
1HG37376059824600,7922f2cb-244e-4a44-37da-d28fab0bbb7f,2017,Nissan,Altima,EX,SUV,28749,11581.58
1HG01565469545312,7c472bea-46b5-4939-1075-72a6078112ad,2024,Nissan,Rogue,SE,Hatchback,57986,14502.69
1HG94858008716255,9f570c44-8556-4337-b5d9-ac8062c7c643,2014,Ford,Fusion,SE,SUV,102962,16108.07
1HG73373884567990,1d7a8ba8-3c9e-4105-3d4a-5afe741543b5,2022,Nissan,Sentra,,Hatchback,70248,9035.88
1HG91562289511784,172f01bf-bd7f-453e-7712-fc6cdf1d86bc,2020,Chevrolet,Cruze,Sport,Van,88331,22708.2
1HG98440252197906,57d836de-2d6c-4463-c2e0-66dc51b91b61,2021,Toyota,Camry,SE,Hatchback,12878,21823.67
1HGCV405ANCHOR1,20a3e4cd-d3d1-46c3-e887-1beb85a165ce,2021,Honda,Civic,EX,Sedan,41000,9250
