consent_id,evidence_id,consent_type,decision,capture_channel,capture_actor,captured_at
439fabf4-3fde-4cd0-b11e-5a4345aa8938,c1a16f27-6866-4898-d7ff-7e92591ed18a,blackbox_diagnostics,granted,mobile_pwa,policyholder,2025-08-16T09:35:30Z
ab5f8ae1-5a5a-44f3-3cac-d782e642940e,72b36f2f-3d84-49fc-94ae-c73803debc28,blackbox_diagnostics,granted,mobile_pwa,policyholder,2025-08-08T13:02:48Z
b2cddd41-a2c6-4500-8dd4-443e308c1097,7353ae2a-5dca-45f3-59f1-45f86058c3f2,blackbox_diagnostics,granted,mobile_pwa,policyholder,2025-11-28T18:23:26Z
fef4e56d-6e52-42f8-148d-d728b4daa684,a3611a0f-df85-4c02-d7f5-92709f1a7455,blackbox_diagnostics,denied,mobile_pwa,policyholder,2025-12-12T13:58:14Z
dbe02a43-5643-4eda-7aa5-377b209ed099,827823c3-9459-4b3d-4567-b7696b1820d3,blackbox_diagnostics,denied,mobile_pwa,policyholder,2025-07-07T22:13:31Z
ea6caa15-be0f-4176-1776-393e74ea2cb3,2715ad57-78a0-4e7c-2544-4d4af6f8ff5d,blackbox_diagnostics,granted,mobile_pwa,policyholder,2026-02-23T22:04:02Z
4c23e617-e6d1-47a6-2aaa-3e1a35ae6674,4bb2644c-2480-4e0f-e853-d2f29279a43f,dashcam_access,denied,mobile_pwa,policyholder,2026-05-20T02:04:15Z
c0d2d9ca-0e71-4203-9230-88a27a70df08,49e9ca2f-2d48-40e6-a1ea-1dfe9af6efac,dashcam_access,granted,mobile_pwa,policyholder,2026-04-11T03:44:35Z
727f0826-1148-4b28-a5ce-580664646c83,0d89353d-8862-4844-7412-90615d35b0aa,dashcam_access,granted,mobile_pwa,policyholder,2025-08-25T15:57:29Z
81f17ea9-74cb-4e21-4c52-cf57f3a5b318,d3e440c2-18d4-44f2-4214-8b59040e7c02,dashcam_access,granted,mobile_pwa,policyholder,2025-11-02T16:32:12Z
