exposure_id,claim_number,claimant_id,coverage_id,coverage_code,exposure_type,status,reserve_amount,paid_to_date,opened_at
3ce76b92-d1bc-4d08-2469-ceca82562e7a,CA-2026-1000006,d4448907-318a-4ac4-0653-c81ef8d2cd01,6010c168-545b-4497-5739-a169d7238c32,RENT,Rental,Open,1200,0,2025-09-06T20:31:01Z
92f77829-1228-4fa8-b7cf-2a1174368ab0,CA-2026-1000007,5c4bd1fb-97ff-48e1-4b5c-c27ed6053c43,57e41cca-3f1e-4ed8-e434-867ed294a18c,COLL,Collision,Open,2839.47,0,2025-12-09T13:17:44Z
1d7803b1-411b-4e72-bec1-b877cb627d4c,CA-2026-1000007,5c4bd1fb-97ff-48e1-4b5c-c27ed6053c43,d77821e9-525a-4a5f-79b9-01e3ef074baf,RENT,Rental,Open,1200,0,2025-12-09T13:17:44Z
1cd3f25e-75bf-4b88-dd11-4160fd048fed,CA-2026-1000008,8a336c16-4f82-48b1-38d0-32e7c1a5dcea,af42ace8-3b7c-48e7-2eeb-53f723c7f52b,COLL,Collision,Open,7743.3,0,2025-08-07T22:08:22Z
90eb78fe-cdfa-48eb-208f-827ae6319ae3,CA-2026-1000009,85060c8b-ea4e-4e65-2b87-2a133085f99a,51e0bc7b-ade4-4d8a-f615-b7a0d7e1fe5e,COLL,Collision,Open,2978.81,0,2026-03-17T02:41:38Z
0ae05d91-636a-4630-72fa-94af4546f266,CA-2026-1000009,85060c8b-ea4e-4e65-2b87-2a133085f99a,0502d6f5-b0e2-4580-17f8-05808bface0a,RENT,Rental,Open,1200,0,2026-03-17T02:41:38Z
2b19ef3d-c2b1-4eee-d922-592b5f0a395b,CA-2026-1000010,03464426-6506-402e-a14f-767d0bb8795f,56e07194-33f7-45c9-8945-e999b0d0bc56,COLL,Collision,PendingPayment,7125.29,6625.29,2025-12-22T05:32:47Z
e0271134-ed88-4121-ddd1-872d56a35d78,CA-2026-1000010,03464426-6506-402e-a14f-767d0bb8795f,597a9115-7add-45c8-b978-46df8af7682d,RENT,Rental,Open,1200,0,2025-12-22T05:32:47Z
4d40a78d-cb5f-4707-021e-8262f8728503,CA-2026-1000011,5728c406-2a19-4c6b-40ce-3b158a834ac9,764d379c-0a13-40bd-3cb2-19d4bd59c6a7,COLL,Collision,PendingPayment,4579.1,4079.1,2026-07-14T17:53:40Z
21c192c5-6d54-4567-14e7-1739fb130437,CA-2026-1000012,3011dad4-6172-4412-00a4-52a7b7f707b4,ea9508c1-0f8c-4842-3a86-4822d3c13dd1,COLL,Collision,Open,6591.21,0,2026-02-09T14:14:56Z
6b44f7c0-3e55-46e2-0b56-dfc9ee37bd84,CA-2026-1000012,3011dad4-6172-4412-00a4-52a7b7f707b4,b3401351-1a29-4665-011d-a0a3c8a4d76e,RENT,Rental,Open,1200,0,2026-02-09T14:14:56Z
548c42d6-3323-46f4-d2e0-cfff776ae121,CA-2026-1000013,b1d0f4ec-9e93-4950-fa00-0f0da2c31ad6,b0830dcf-60db-41a0-582b-070058327d5b,COLL,Collision,Open,3273.44,0,2026-04-15T07:06:58Z
675bc62a-3bbb-4d8a-1e0c-a3a839d41aa4,CA-2026-1000013,b1d0f4ec-9e93-4950-fa00-0f0da2c31ad6,c7d90f34-6376-4f94-f2b8-cc93284eb384,RENT,Rental,Open,1200,0,2026-04-15T07:06:58Z
fba3839f-0379-4149-fae8-9f750a72a79f,CA-2026-1000014,d67cf8a3-58d5-46b7-85cf-345093b5b906,fdb62b3e-3f8b-4a8f-254d-ca34a7f9c371,COLL,Collision,Open,7492.34,0,2025-07-05T09:24:47Z
2e5af1d1-72e5-48d5-681f-c6a654ce82c0,CA-2026-1000015,da93ce7c-65b8-44df-674b-2e1660d31d15,ca032ddc-ccf7-4f9e-26c9-dfa3661d89c2,COLL,Collision,PendingPayment,2425.1,1925.1,2026-06-17T00:00:51Z
125fba2b-d610-4480-1cbe-5250e86b15ee,CA-2026-1000016,58de6b9d-ee91-4b0b-f12c-54c0111a26da,4e4194e5-061a-4020-f1b7-1b63f93570d3,COLL,Collision,Open,9236.54,0,2025-12-22T06:05:35Z
8162a390-2caa-4aa7-d0d9-59dd1142f356,CA-2026-1000016,58de6b9d-ee91-4b0b-f12c-54c0111a26da,e102f88b-56c6-4ccf-2a48-fa0315e4b24e,RENT,Rental,Open,1200,0,2025-12-22T06:05:35Z
a614a1f9-fad0-4e01-70fc-061a85772c3c,CA-2026-1000017,2e9c7abd-e2f3-4e18-eece-cbecf5cb599f,7d14b3a4-a21e-4f29-3fe1-69ff2dacf40a,COLL,Collision,Open,6250.57,0,2026-01-17T18:29:55Z
7ba96611-a2fd-4494-c9ef-ecb0843544b6,CA-2026-1000017,2e9c7abd-e2f3-4e18-eece-cbecf5cb599f,cb56b555-d751-4005-c381-d5637431f253,RENT,Rental,Open,1200,0,2026-01-17T18:29:55Z
8fad45ee-fc37-49bb-ac18-ccbf339c232b,CA-2026-1000018,b76f17d1-e071-45b0-9e62-1d35eef421ed,893fb5a6-18bd-4582-97f6-ae4fc9061f4d,COLL,Collision,PendingPayment,1576.94,1076.94,2025-11-13T18:33:45Z
f31fbd51-a7a8-4372-0888-772f0cfff769,CA-2026-1000018,b76f17d1-e071-45b0-9e62-1d35eef421ed,48e45a58-eca4-49b1-1d35-f2f4f62decf9,RENT,Rental,Open,1200,0,2025-11-13T18:33:45Z
6d8b2e57-4fb6-4f3f-b743-e764fa7de61f,CA-2026-1000019,da813bdd-3bc9-4b74-b417-f79c38b10764,c5491ca2-ecb8-4740-9379-b61a6779f6c3,COLL,Collision,PendingPayment,9556.28,9056.28,2025-12-15T22:45:12Z
9a33515d-6c63-4e44-83f7-03bc83b5f87e,CA-2026-1000020,76d18a69-9855-4d8c-8f09-8dc5d0cf2ee2,3ca845c7-a5f6-414f-79bd-c52338f9997e,COLL,Collision,Open,4373.46,0,2025-09-26T13:26:20Z
92ab706b-1f82-4e1e-ccc6-fd9b12dfe263,CA-2026-1000020,76d18a69-9855-4d8c-8f09-8dc5d0cf2ee2,1eff077f-e1c9-40a4-a7cd-97b06a44bb81,RENT,Rental,Open,1200,0,2025-09-26T13:26:20Z
3dc1b3c4-8ba2-4904-6346-e3ae20f8f912,CA-2026-1000021,b5304ace-0c9f-4b82-defe-38ec7c696f5d,f5641fb7-f74b-4fce-c6fd-bbeb84de3368,COLL,Collision,Open,24386.4,0,2026-03-01T17:15:36Z
592f122b-721c-4985-e263-68a21d96853c,CA-2026-1000021,b5304ace-0c9f-4b82-defe-38ec7c696f5d,a0a1f13a-e691-4be1-413b-fc071ac9ba6f,RENT,Rental,Open,1200,0,2026-03-01T17:15:36Z
0af8e79b-03f1-4317-0b0c-ffcf4bc96296,CA-2026-1000022,77350876-6e44-4684-4603-0b6f627ce95a,1d9a74af-6302-43b7-97bb-2920d16206ff,COLL,Collision,PendingPayment,4590.42,4090.42,2026-04-04T13:53:50Z
9d1eb839-7f4e-4441-e1d9-fbb18a81ebd8,CA-2026-1000023,de306ded-8691-45e7-1b89-e9c3895ee151,a8edd4cf-da89-4ca4-2e41-95097b66102b,COLL,Collision,PendingPayment,2558.44,1558.44,2026-08-08T16:20:49Z
9941190c-128e-4c1a-8746-06b87af5fe88,CA-2026-1000024,683cdfde-d42a-44f4-0cea-f5474b974135,f85915ed-d749-4aa7-aa5d-527dd56c3e05,COLL,Collision,PendingPayment,3377.82,2377.82,2026-08-15T21:18:51Z
9fb21d06-c179-469c-39bd-f0f1c1dcd07b,CA-2026-1000025,5eb17cc2-947a-4e7c-3fc3-41c6467d909d,f79401d5-ba2d-4006-3d9f-0915425b2f2b,COLL,Collision,Open,1435.51,0,2026-02-11T04:24:42Z
eaa13314-b51e-4d94-7488-d9f8c2079509,CA-2026-1000025,5eb17cc2-947a-4e7c-3fc3-41c6467d909d,eada4402-bf4c-40f4-08a8-b59c1c4ad909,RENT,Rental,Open,1200,0,2026-02-11T04:24:42Z
e699bcd2-1414-4b2b-99d1-ea221db6a88b,CA-2026-1000026,a15951d2-0400-475b-f53a-2cefd5c93358,5a97edfe-ff28-4b5b-6fee-b827c24d1441,COLL,Collision,PendingPayment,4469.88,3969.88,2026-07-24T01:57:41Z
be489c93-077a-4c2c-f87c-22fb42e00f1f,CA-2026-1000026,a15951d2-0400-475b-f53a-2cefd5c93358,7e46654e-ef21-4d8f-ed33-f3cc7707cca7,RENT,Rental,Open,1200,0,2026-07-24T01:57:41Z
1171ee19-a055-485f-48ad-db26ea6c4bdd,CA-2026-1000027,7cb89e0c-0fab-43c7-fd1f-7984c5321f24,d6df39b3-a16d-4815-8f33-6ddbe3b796bc,COLL,Collision,Open,8159.84,0,2026-01-26T09:06:29Z
e96e21d5-22de-4bc7-3bf8-eada5717b8bd,CA-2026-1000028,60ecc530-9f02-49e6-1a94-d580aa90bad6,737804ea-c9c2-43ef-aa2a-c56191502352,COLL,Collision,Open,1785.92,0,2025-06-28T04:24:04Z
f6c7979e-3362-4266-93bc-21a5d4e9daad,CA-2026-1000028,60ecc530-9f02-49e6-1a94-d580aa90bad6,260826ec-9aa0-4222-ed4a-42fccdbfd53b,RENT,Rental,Open,1200,0,2025-06-28T04:24:04Z
c0e0e97b-a07b-49fb-b88a-4ea7d63fc417,CA-2026-1000029,f35008ee-a6ed-4221-e477-fafdfdbd0d36,a6c46ad5-1e43-4865-6e71-d2ebe71de886,COLL,Collision,PendingPayment,5894.32,5394.32,2026-03-02T21:23:52Z
aff5e61d-5dc8-40ae-b611-6de17c8648ca,CA-2026-1000029,f35008ee-a6ed-4221-e477-fafdfdbd0d36,515a2af2-23b2-4462-d45e-8eb8af0a1c70,RENT,Rental,Open,1200,0,2026-03-02T21:23:52Z
68e15e56-66dd-4833-4ec8-d5b3aa62221e,CA-2026-1000030,f35008ee-a6ed-4221-e477-fafdfdbd0d36,e4d52634-6c80-43d0-4bbf-5be0ed77e098,COLL,Collision,PendingPayment,6424.02,5424.02,2026-06-20T15:43:01Z
0418531b-801c-4298-4e50-ea8769fdc95d,CA-2026-1000031,139c425c-486a-42ec-b49c-831d01e2b9c6,d50a375d-92be-4860-d8d8-d540591202b4,COLL,Collision,PendingPayment,3819.36,3319.36,2025-12-27T02:35:37Z
08b150a9-23b9-4e24-4916-08e1689f858f,CA-2026-1000031,139c425c-486a-42ec-b49c-831d01e2b9c6,2a7173bb-1460-4c2d-8313-415efeb039c7,RENT,Rental,Open,1200,0,2025-12-27T02:35:37Z
642e3f6a-db71-474f-323d-e9b8c242f3c2,CA-2026-1000032,f09cd40e-aa2f-49de-1581-ea399fe9dd70,bdff7028-d9e8-42be-e96d-e8fcfd33eed1,COLL,Collision,PendingPayment,9220.06,8720.06,2026-06-28T20:39:13Z
da75aa89-d5fc-4795-ccbb-e35e0eafa3d9,CA-2026-1000032,f09cd40e-aa2f-49de-1581-ea399fe9dd70,524629ff-03c9-4837-39c6-bf66e76e2b96,RENT,Rental,Open,1200,0,2026-06-28T20:39:13Z
42ec3361-9622-4a35-be12-5c28aebca3e3,CA-2026-1000033,e3c3656f-68e2-4f89-6220-2e93c81293df,ea9508c1-0f8c-4842-3a86-4822d3c13dd1,COLL,Collision,Open,3674.73,0,2026-06-12T17:41:40Z
82009ab4-216c-47fa-48fb-340948d2af11,CA-2026-1000034,5728c406-2a19-4c6b-40ce-3b158a834ac9,a93d3c75-ff2f-4dc5-2bb2-2ca1f504cdfd,COLL,Collision,Open,2940.52,0,2025-12-28T15:04:39Z
55a3ae1c-31bd-470a-acdc-ccdc36b1597c,CA-2026-1000035,4ed5dde6-1399-4df3-130a-d6f628d5e300,bd95dfbd-58cb-465b-dae6-d394b66ab4ee,COLL,Collision,PendingPayment,5421.84,4921.84,2025-12-23T11:49:00Z
3a46961c-b2f4-4adc-7c94-2ff9f534bfc9,CA-2026-1000035,4ed5dde6-1399-4df3-130a-d6f628d5e300,0d953aff-9196-4199-7779-dc3929cbffed,RENT,Rental,Open,1200,0,2025-12-23T11:49:00Z
6f57e13c-8db1-474f-eb3a-230ead9351aa,CA-2026-1000036,8fbb26cf-16f6-40fc-8988-96364e2cb58e,d6466ac8-5a47-492a-3d2d-8b440719f8d7,COLL,Collision,Open,3683.46,0,2026-01-04T13:19:59Z
02f0f255-270d-4105-bb16-65e2850982cb,CA-2026-1000037,e2ebb584-20d7-48f4-6c50-fb18b88e3498,31ffdff1-50dc-40d3-4d85-e739876447ad,COLL,Collision,PendingPayment,5329.25,4829.25,2025-10-30T11:08:45Z
fe99a3de-1a2f-473a-028f-a639dfeb3a14,CA-2026-1000037,e2ebb584-20d7-48f4-6c50-fb18b88e3498,2e577a57-f83e-4cfd-8905-775f63879433,RENT,Rental,Open,1200,0,2025-10-30T11:08:45Z
2662d4fc-53b6-4980-de2f-f1829c0de95e,CA-2026-1000038,edb4839a-1c2e-4072-a633-188091f3c56a,bf1469fa-1a1e-44ab-4702-2f026e2611d9,COLL,Collision,Open,2570.68,0,2026-06-22T14:32:56Z
3ac4b4bd-fa98-4eaa-d4ac-6000acb4f5bb,CA-2026-1000039,1ebc54fb-fd8f-4a95-28f2-10292d0264ca,893fb5a6-18bd-4582-97f6-ae4fc9061f4d,COLL,Collision,Open,8236.25,0,2025-11-20T06:39:40Z
7d6022c7-0eea-44f1-765c-34cdb855f0b3,CA-2026-1000040,58b6e8ab-0b42-4327-2ba6-b6c6ad3224a5,a8f1adec-1490-4522-8ab6-0654e82c8808,COLL,Collision,Open,5993.19,0,2026-05-06T18:23:59Z
1dece1fb-1590-44e4-6c47-7b361f1ae1e5,CA-2026-1000041,7284a29b-56ef-413e-36da-964fb2a3855a,85af9372-9b37-41c6-55b6-97d964308fd8,COLL,Collision,Open,4595.38,0,2025-10-26T20:05:22Z
a5ca9e88-a360-4d1b-d8f3-145a881bc2ff,CA-2026-1000041,7284a29b-56ef-413e-36da-964fb2a3855a,f04dbc83-aac6-4994-336a-b26f0fc5939d,RENT,Rental,Open,1200,0,2025-10-26T20:05:22Z
3750ec91-f65a-4614-ba51-6d26ea2d5d58,CA-2026-1000042,5d4c2ede-1928-4e77-e203-ff0d2a31599d,a8f1adec-1490-4522-8ab6-0654e82c8808,COLL,Collision,Open,7977.38,0,2025-12-14T17:08:43Z
c0619d2e-2e9f-4cb3-f75f-01238550fde0,CA-2026-1000042,5d4c2ede-1928-4e77-e203-ff0d2a31599d,55c6a6e0-24ae-4ec4-ad01-0ea68385c6d5,RENT,Rental,Open,1200,0,2025-12-14T17:08:43Z
c81873f9-d0d0-4193-02d3-95275c521639,CA-2026-1000043,7dab8238-a379-43e3-d926-7c1303cffa2f,1dcc372f-e102-4bd0-36eb-87fd476f84ec,COLL,Collision,Open,6062.87,0,2026-01-06T10:15:09Z
3c813770-8123-4b31-d270-01ceabed2cc9,CA-2026-1000043,7dab8238-a379-43e3-d926-7c1303cffa2f,4eef4361-ac46-42bc-c1e9-b02f90306669,RENT,Rental,Open,1200,0,2026-01-06T10:15:09Z
2db62beb-bb74-443b-c0c0-e19737074750,CA-2026-1000044,73fefcc2-7a9d-4ff9-0a57-080cb243f970,9027cc31-f46f-4ea8-b5e6-1648f560841d,COLL,Collision,Open,3879.35,0,2025-12-11T09:24:08Z
53e8c8d0-5818-4510-8ccc-44173ffa4105,CA-2026-1000044,73fefcc2-7a9d-4ff9-0a57-080cb243f970,90038a02-4800-42c2-663a-9bbdfe3c3c2b,RENT,Rental,Open,1200,0,2025-12-11T09:24:08Z
da801965-5bf8-4996-e443-dc9e36206f10,CA-2026-1000045,75bbe01b-e34c-4f45-0f82-e05c77995785,b0830dcf-60db-41a0-582b-070058327d5b,COLL,Collision,Open,4712.41,0,2026-04-06T11:09:30Z
b8997216-ee58-444d-ce99-e51e75c5308b,CA-2026-1000045,75bbe01b-e34c-4f45-0f82-e05c77995785,c7d90f34-6376-4f94-f2b8-cc93284eb384,RENT,Rental,Open,1200,0,2026-04-06T11:09:30Z
3c443cc4-c1ea-49de-fd5d-4c4c077b522e,CA-2026-1000046,fa37ed2a-669d-4830-15fd-386aabe727c0,a6c46ad5-1e43-4865-6e71-d2ebe71de886,COLL,Collision,PendingPayment,3799.52,3299.52,2026-04-25T11:16:39Z
5fce524e-f8d6-4dcb-7333-27c415e3abe0,CA-2026-1000047,be0b70ee-ad49-4539-7ee1-c10ec0e1a030,6096a055-00d9-459e-3d0f-d85c494f80fa,COLL,Collision,Open,7086.46,0,2026-07-05T00:52:52Z
1e6d43f1-5e07-4ae6-a418-f74fab5c1367,CA-2026-1000047,be0b70ee-ad49-4539-7ee1-c10ec0e1a030,58cd51f1-bc5b-4f52-f613-471edf496800,RENT,Rental,Open,1200,0,2026-07-05T00:52:52Z
182f2532-4fe4-4f42-9cc2-a3da889b3a98,CA-2026-1000048,7f9d9be3-8532-424a-a205-6f1d5c56df52,1c23c841-1634-45b0-5b9f-8d214f2adb41,COLL,Collision,Open,5339.04,0,2026-02-13T10:44:31Z
822dc2e0-65ea-4293-d661-ea952b9eeb45,CA-2026-1000049,0bdf0400-0e48-47e0-a884-4be7f9d25cb5,53cda7fd-5f0a-4749-cfb9-c5cded9793c0,COLL,Collision,PendingPayment,3576.1,3076.1,2026-07-17T15:59:57Z
806e7d3e-0226-4d38-c7ad-99df84fd976e,CA-2026-1000049,0bdf0400-0e48-47e0-a884-4be7f9d25cb5,c6a1e4c7-fc10-482b-b25a-b69a3f87586a,RENT,Rental,Open,1200,0,2026-07-17T15:59:57Z
ad773a0e-b553-42d3-0f4f-c6f07ca5e093,CA-2026-1000050,7f9d9be3-8532-424a-a205-6f1d5c56df52,931fa3a3-c280-452b-cf8b-85c512fc2c58,COLL,Collision,PendingPayment,16435.37,15435.37,2026-03-01T14:10:37Z
0e3c70f6-5d47-4d37-d542-4aaf0d70113e,CA-2026-1000050,7f9d9be3-8532-424a-a205-6f1d5c56df52,219292b2-b72c-4653-35b0-8c64bf217c91,RENT,Rental,Open,1200,0,2026-03-01T14:10:37Z
71824ec4-d7bc-445b-56de-6d5f3ad3372a,CA-2026-1000051,f773e51f-fe60-4115-af81-ec115f340c9e,420e3141-94ff-49bc-8696-5c2db9fbe385,COLL,Collision,Open,22825.18,0,2025-11-08T02:53:24Z
03ac8240-d91c-447d-689f-3f097ae80323,CA-2026-1000051,f773e51f-fe60-4115-af81-ec115f340c9e,d51b63db-186d-4784-2ec0-a64667e8f860,RENT,Rental,Open,1200,0,2025-11-08T02:53:24Z
85d9cf34-3900-4fda-61f6-39ec55fc9ae3,CA-2026-1000052,c8ea92f0-181a-4a5b-ec7d-adc72348dbc1,3abec827-9774-4afb-cf20-80ece052ea06,COLL,Collision,Open,4727.98,0,2025-08-22T23:09:48Z
3ef4bf3a-3dba-4d1c-3cfd-c909ea922afd,CA-2026-1000052,c8ea92f0-181a-4a5b-ec7d-adc72348dbc1,449a5976-05c3-4bfd-391e-dcc7682f8c93,RENT,Rental,Open,1200,0,2025-08-22T23:09:48Z
19836ae5-d368-4b33-e7c7-9ff4fbcf57b6,CA-2026-1000053,7ba89e32-9ce8-48bf-2072-95c6c018ac7b,36c89fc1-5b63-4115-2341-f403888e2f4b,COLL,Collision,Open,4630.2,0,2026-07-02T07:01:57Z
2f0b0bc5-62ff-4351-0423-a6906ed09d58,CA-2026-1000053,7ba89e32-9ce8-48bf-2072-95c6c018ac7b,8e43153e-29ab-47a1-acb1-2481384914cc,RENT,Rental,Open,1200,0,2026-07-02T07:01:57Z
3e8f27c7-3f0f-41fc-d630-0b3cb75c1009,CA-2026-1000054,060a7882-cdf5-41f6-04e1-573c3d8cd134,ca032ddc-ccf7-4f9e-26c9-dfa3661d89c2,COLL,Collision,PendingPayment,2016.95,1516.95,2026-03-31T07:18:46Z
12bad87c-91e9-4456-2b92-08dac0a50860,CA-2026-1000055,7f9d9be3-8532-424a-a205-6f1d5c56df52,83aa4715-acf2-459a-551e-f308de80cd89,COLL,Collision,PendingPayment,5232.94,4732.94,2026-07-06T10:12:00Z
332933ed-6b21-46a0-d2aa-45227269f6bd,CA-2026-1000055,7f9d9be3-8532-424a-a205-6f1d5c56df52,fab6af3c-b048-4be5-80cb-07bf390dfe7c,RENT,Rental,Open,1200,0,2026-07-06T10:12:00Z
67f6e282-bb7f-4608-5531-d63b369ad1a3,CA-2026-1000056,07d9bcde-52c8-4857-edd2-0fd1aeadc3c1,e38eadbd-68a1-45f2-1cce-80a1121d2305,COLL,Collision,PendingPayment,3450.12,2450.12,2026-03-06T06:25:18Z
b0585366-5a14-4db0-dd9e-d8ebf5a47286,CA-2026-1000057,c526777d-47f7-4e83-e998-3bfe62f63494,2f5d4096-f7e8-4d3c-aa86-1eb3a356800b,COLL,Collision,PendingPayment,6827.71,6327.71,2026-02-15T04:12:57Z
febc4cd1-e915-414c-d772-3f2bed2f7c3b,CA-2026-1000058,f9836f56-1278-413e-6cef-c0556074d53b,69d49d00-899a-4988-23c7-146872bcb477,COLL,Collision,Open,2807.25,0,2026-06-21T20:31:39Z
78267d92-20f7-4ae9-2cc9-e1dc1685a2a6,CA-2026-1000058,f9836f56-1278-413e-6cef-c0556074d53b,06230aae-b7e8-48b6-81c3-472e3c992a2a,RENT,Rental,Open,1200,0,2026-06-21T20:31:39Z
8f397e5f-3541-4305-1153-38674fdf239f,CA-2026-1000059,e449b640-bb71-49e4-47e7-7ef67044e9b5,4f42554e-d235-4bc0-9311-c59bc29a3983,COLL,Collision,Open,2578.3,0,2026-02-12T15:35:53Z
19fb9c10-9f23-49c0-c2b9-bac9ff58b7b2,CA-2026-1000059,e449b640-bb71-49e4-47e7-7ef67044e9b5,37b22808-171c-47f7-2907-5fe60578d9c1,RENT,Rental,Open,1200,0,2026-02-12T15:35:53Z
5117f218-6dd8-4afd-a50b-8d9c29ea6916,CA-2026-1000060,5728c406-2a19-4c6b-40ce-3b158a834ac9,8bb5395a-e290-411c-4db1-14c4e76dd953,COLL,Collision,Open,5268.65,0,2025-09-13T06:59:53Z
b3908580-e16d-46e4-8796-ea3776057ec8,CA-2026-1000060,5728c406-2a19-4c6b-40ce-3b158a834ac9,d32d048f-995e-4486-b6a4-58dde21bdb0c,RENT,Rental,Open,1200,0,2025-09-13T06:59:53Z
2dddf9f3-5141-4ef2-c93b-baf0a5093775,CA-2026-1000061,d4956316-aaa0-42c8-0d34-429d560c094f,5a97edfe-ff28-4b5b-6fee-b827c24d1441,COLL,Collision,PendingPayment,27835.76,27335.76,2025-10-21T07:38:11Z
ef5e884c-83e2-4b2e-4e61-45eb03012238,CA-2026-1000062,313a932e-ca5a-4377-acd5-c2fbf4b8b2b8,e00ce984-de12-4f4e-772f-e53c538ae58a,COLL,Collision,Open,5167.32,0,2026-04-09T07:52:14Z
9f2effc5-8f9c-4c4f-daeb-991ed04479e2,CA-2026-1000063,10b997ef-6ad4-4192-9656-d47853c765db,442296e4-620f-41e2-fb0d-0b93bac66504,COLL,Collision,Open,18863.35,0,2025-08-29T19:44:04Z
331ebb50-2f17-44c0-934e-e64681dc09a7,CA-2026-1000064,f1a91b87-1d9f-43ca-9061-fa050d67958b,5aa2c17a-0cd7-48e4-33b7-f9bd7af97476,COLL,Collision,PendingPayment,26372.69,25872.69,2026-05-25T21:17:03Z
43b2f7e8-97fe-4088-6c09-7fc71fd1d9a6,CA-2026-1000064,f1a91b87-1d9f-43ca-9061-fa050d67958b,6324b178-114d-48fb-8597-47888a78b822,RENT,Rental,Open,1200,0,2026-05-25T21:17:03Z
b8dd509f-236e-48a2-eb82-8b6d491dbc42,CA-2026-1000065,a15951d2-0400-475b-f53a-2cefd5c93358,a6deb8bc-10ea-4d8f-5bbb-11c7c475b1b4,COLL,Collision,PendingPayment,27043.24,26543.24,2026-09-21T02:51:00Z
1ad1d505-e0dd-40c0-f7f4-57e25edb99fb,CA-2026-1000065,a15951d2-0400-475b-f53a-2cefd5c93358,f70e9c3f-6513-448f-d001-fa6312557481,RENT,Rental,Open,1200,0,2026-09-21T02:51:00Z
836ac518-d870-42a4-2241-5cc3428aceab,CA-2026-1000066,80436c8c-505e-4ade-2ccc-9051a88f2930,9f5c61a2-27f6-415b-454e-775318d16e47,COLL,Collision,PendingPayment,7713.4,6713.4,2026-09-13T10:31:58Z
f782dfc1-d018-4382-90ef-3b44eb0f20a2,CA-2026-1000066,80436c8c-505e-4ade-2ccc-9051a88f2930,a36a6b2a-ef93-4027-5046-0d31649a41b9,RENT,Rental,Open,1200,0,2026-09-13T10:31:58Z
dc1ec88e-95f6-4e03-5a64-3b858ca26bbe,CA-2026-1000067,edb4839a-1c2e-4072-a633-188091f3c56a,764d379c-0a13-40bd-3cb2-19d4bd59c6a7,COLL,Collision,Open,4854.39,0,2025-08-03T09:19:57Z
cd50d1d3-5b39-4ff5-fb94-3b432319f8ac,CA-2026-1000068,051064d8-f14b-4e58-1a7e-f5e0418b960a,57e41cca-3f1e-4ed8-e434-867ed294a18c,COLL,Collision,Open,2817.97,0,2026-05-29T04:43:20Z
d7f39a9f-7057-4116-e85b-f232fa894057,CA-2026-1000069,c9487d46-362e-45f5-1d17-7a52e309aa07,ea9508c1-0f8c-4842-3a86-4822d3c13dd1,COLL,Collision,Open,17312.7,0,2025-09-22T00:18:20Z
