loss_event_id,vin
9283a5a0-b735-4995-2734-b132c92b05ee,1HG26078763324767
a7ff36af-0b6e-4e31-66f9-c3bec95c6b4c,1HG09654744225554
e4cd7cb5-efb7-4a30-a590-a81aaf869d6d,1HG48963962239213
e05bdb4f-b438-4d9e-afc9-33d2963c78d7,1HG78050627978518
fee22669-a87e-48be-5871-443b51f97b2a,1HG78279062849469
08fa6382-4378-4e0b-a2ab-203717e88722,1HG82330628088675
839d0d0c-db6a-48a7-9030-d964d76df802,1HG37879177555441
d41f6bc4-c4cd-413b-ac59-11a00ab7988f,1HG73683902551420
b7ed103c-e76a-4f2a-13bf-fbe5e511d653,1HG72175474814139
57a892e1-f52c-4d47-2ed9-0433ee5821a6,1HG14156001736409
4522b298-75eb-4192-691a-a037771c3971,1HG38743117125704
c374fe06-797b-451d-cd21-d06bd92eca42,1HG37879177555441
590f100e-4c12-446b-62cc-6a1900b6cff2,1HG92420553509145
4afb7053-c95a-4d66-d7bc-61e34e107659,1HG56416249321773
62a053f6-7e59-4071-8019-6c2b29f26be5,1HG67784502170979
f7a1bbc6-1421-491d-8618-e640c3fe9c74,1HG01565469545312
ab037918-0549-4ada-f8e3-dc907df748af,1HG18602997995913
8182af28-5ed9-4794-8add-0c65f3d9898c,1HG74524206691421
cb8aa769-460e-46ea-4554-f7dd5b93250c,1HG52051087841391
eb2e5564-6919-475f-b366-c7d63220ec0d,1HG37376059824600
d8b0f7f2-ae79-4322-2aed-fe160833fc92,1HG65671578398905
63ab0f9d-e932-47aa-b032-61604cb1a31d,1HG66632919316180
78a53842-995f-4f38-eedb-56803a47783b,1HG41483992687426
04313334-d636-4acf-fcf7-69296ca36ae0,1HG17486151936464
b525ba85-21aa-4ed3-90df-37acf72ba15b,1HG46375511237420
d825723e-c5d8-46e3-e71e-4a2adc38b8f4,1HG47493818006478
ce999db9-97f3-41e2-65ce-24731981a79d,1HG19844831433147
cc2bbe78-10b7-424f-c7e4-f6c6252152a0,1HG13272628351114
bd89226a-6daa-4553-2cb3-32c933af0ee9,1HG73683902551420
4913c9b2-87d5-44ce-b951-d47c10a981b0,1HG77979300869628
51f9c8f1-f516-40aa-8191-d3e1b62fd92f,1HG23685072269290
4db0e521-78e2-4ad3-152a-67e12597de68,1HG48016632138751
e4b844dc-0840-4291-6ed1-4e070bee3669,1HG92420553509145
a505a22e-9392-42f8-cc84-bbc0bb0e486b,1HG24430487700738
5a65df7a-a0bc-4f8b-8c54-60e54124680f,1HG96955777122639
3a36ba3c-ec28-41b2-39dc-3dabd3dc062c,1HG41483992687426
967c4b52-eb7c-4bdc-680e-554970eab666,1HG10587657080031
6ec003d8-f720-48a6-247e-b9f5f8ef5bba,1HG47493818006478
bff5df20-2aca-4b64-d298-b2133419b3ae,1HG29926044656895
3d76c290-94ec-4d1a-1c61-57787c0661c2,1HG94858008716255
7ee990ef-3c48-43d9-2f31-6d548ca8e2c1,1HG82640720647759
40d57e44-e752-410f-44dc-c303b1b9f6a1,1HG20675559132359
4263ac72-bc92-4014-7791-a9e378d63b7c,1HG87191083352081
49ea17c4-efbc-42d8-816e-b6865c444abb,1HG96955777122639
f7c0ac36-5ebd-4af3-b91a-b760f78944f4,1HG45726010925136
c398b36d-9a0f-4d66-d0f3-662699255064,1HG30108438595198
781f2d21-2cab-401d-d45f-4ac1767bcb68,1HG45098959887400
88abb98f-0b6d-4fd0-398a-1d3d6146c34b,1HG48963962239213
3b0e0c90-4e0a-416e-25d1-eab3b513d913,1HG73373884567990
ef4dfe43-fc43-4d2b-8917-de98ee02c654,1HG48963962239213
a78868ce-95ee-478c-96b5-06ede3830db4,1HG89500937308184
c31d3310-dd0e-4378-7d34-75b1f3d7f822,1HG92161830584518
aafb43ee-1485-4ea9-3d58-dfb4ba6ca82d,1HG78279062849469
c6bf3a65-1fa8-4e8b-f4cd-1d70a0b65d6d,1HG47270451742224
654a7d2e-d734-4c88-f437-56bfce62a994,1HG14148858562111
340151fd-343c-45e0-514b-9695e07b44c0,1HG66632919316180
4c11e85f-d518-4dd4-fc53-62d58bbf6e75,1HG01378562534227
52f0a910-db0d-4ee9-ab77-8cb0ab4bf364,1HG32921946630813
7e54427f-77da-47a9-f101-093dbf4e69b8,1HG22014972358010
86c020c9-82a5-47a8-9844-f9c89cac0efd,1HG47748700855299
3f5887ad-0c5b-4ed4-7d33-784768d4a2d9,1HG43783786077983
9d020c4d-75ef-4114-59d8-36dd1c10ab31,1HG23685072269290
d0983884-6116-4d3c-10ee-de7f64647745,1HG62390112574212
