evaluation_id,vin,claim_number,repair_cost_estimate,actual_cash_value,total_loss_ratio,total_loss_probability,recommendation
fbf39689-087d-4f7d-0ddf-0d3137250460,1HG92161830584518,CA-2026-1000032,9220.06,24117.11,0.382,0.4,repair
1e7d757a-1ffd-45a9-2f3b-087390b2a8ce,1HG43939007096923,CA-2026-1000033,3674.73,29475.09,0.125,0.08,repair
526a8ffb-19a3-472c-6a9d-44c8b3b898d5,1HG68918336345814,CA-2026-1000034,2940.52,24614.32,0.119,0.15,repair
32ffd4dd-b8c5-447e-af5a-dc677b37afe3,1HG27210394223220,CA-2026-1000035,5421.84,30147.81,0.18,0.19,repair
50c3f140-70d2-4366-659a-09fbd7379c7d,1HG36275080917403,CA-2026-1000036,3683.46,25350.2,0.145,0.16,repair
5387854c-6562-4eb3-7cce-c88869eb1cb4,1HG26078763324767,CA-2026-1000037,5329.25,11296.31,0.472,0.41,repair
001fd9c5-23f0-4286-a410-2d2ce22211a5,1HG09654744225554,CA-2026-1000038,2570.68,21938.35,0.117,0.14,repair
9bdd7d15-c23c-4628-7ea0-1d195dbe140d,1HG48963962239213,CA-2026-1000039,8236.25,9689.71,0.85,0.84,total-loss-probable
dbdb42bb-a1c9-42e1-a80f-cd1eca127004,1HG78050627978518,CA-2026-1000040,5993.19,30160.6,0.199,0.17,repair
7082ccb7-e08d-4823-50c8-4e7b0a170f58,1HG78279062849469,CA-2026-1000041,4595.38,22199.08,0.207,0.2,repair
43626235-e758-488e-653c-3e84cc7816e2,1HG82330628088675,CA-2026-1000042,7977.38,25305.19,0.315,0.31,repair
623afa59-aa69-41f9-65a5-1b3a74fdf136,1HG37879177555441,CA-2026-1000043,6062.87,10715.1,0.566,0.56,repair
920e7d22-3d5b-440a-d797-40c77f5da454,1HG73683902551420,CA-2026-1000044,3879.35,31445.63,0.123,0.07,repair
2356789e-5d29-4db1-ac26-025f60559055,1HG72175474814139,CA-2026-1000045,4712.41,11936.68,0.395,0.38,repair
e9a26a5e-ccc7-4bb9-35dc-912e20f6824d,1HG14156001736409,CA-2026-1000046,3799.52,14848.88,0.256,0.21,repair
b26fad78-3774-404d-a1cb-eb09d0e348b8,1HG38743117125704,CA-2026-1000047,7086.46,22744.18,0.312,0.25,repair
df9b551c-1430-4164-450b-3c949222392e,1HG37879177555441,CA-2026-1000048,5339.04,10715.1,0.498,0.5,repair
78cafde7-6caf-4c0c-3d27-3b0071d76d22,1HG92420553509145,CA-2026-1000049,3576.1,19024.94,0.188,0.2,repair
b55dc8aa-1dd9-49dc-9063-5bd8798e604e,1HG56416249321773,CA-2026-1000050,16435.37,20043.12,0.82,0.8,total-loss-probable
52acf393-5831-4e46-268d-33c5d2944ef7,1HG67784502170979,CA-2026-1000051,22825.18,21947.29,1.04,0.99,total-loss-probable
1f6d97f0-380f-424a-d2c2-32184e8c2e32,1HG01565469545312,CA-2026-1000052,4727.98,14502.69,0.326,0.26,repair
aa27325c-95f6-45ab-70c6-cadddc25a89d,1HG18602997995913,CA-2026-1000053,4630.2,25309.55,0.183,0.21,repair
2e0bf8f4-ca69-47ef-87dc-f0c82b45542b,1HG74524206691421,CA-2026-1000054,2016.95,8425.65,0.239,0.25,repair
7335da33-80d2-487f-000e-df27cbeea5e8,1HG52051087841391,CA-2026-1000055,5232.94,27120.04,0.193,0.23,repair
88379544-d801-419f-4d07-aa7003dfab18,1HG37376059824600,CA-2026-1000056,3450.12,11581.58,0.298,0.24,repair
9063e820-5c30-434f-cd8c-cbc5cd758f53,1HG65671578398905,CA-2026-1000057,6827.71,26401.25,0.259,0.29,repair
276be750-e14e-48d6-6a6c-c53ebc85706d,1HG66632919316180,CA-2026-1000058,2807.25,13240.53,0.212,0.2,repair
24afdf14-a2d0-4c2c-7a00-d3e2b4a81fad,1HG41483992687426,CA-2026-1000059,2578.3,22531.82,0.114,0.07,repair
b6c2c86b-046c-419e-a7b1-febd0696ebc6,1HG17486151936464,CA-2026-1000060,5268.65,24520.16,0.215,0.15,repair
6c2218d3-fd9b-4b49-611c-44394ecbb59c,1HG46375511237420,CA-2026-1000061,27835.76,28995.59,0.96,0.95,total-loss-probable
7dd3720f-1e98-44cd-ac7c-38e96aa7f120,1HG47493818006478,CA-2026-1000062,5167.32,17221.67,0.3,0.24,repair
5b4114bc-b15d-45ca-58fa-77bc64ceb1b8,1HG19844831433147,CA-2026-1000063,18863.35,18863.35,1,0.97,total-loss-probable
dd46a98c-fb5c-491e-d3ac-59f278001e33,1HG13272628351114,CA-2026-1000064,26372.69,29302.98,0.9,0.85,total-loss-probable
9017b73e-3670-41e9-b769-3a7a353910fe,1HG73683902551420,CA-2026-1000065,27043.24,31445.63,0.86,0.84,total-loss-probable
022d5ac2-a09e-4265-9d64-b9791b932bed,1HG77979300869628,CA-2026-1000066,7713.4,28397.64,0.272,0.21,repair
24ee527d-06a8-4d97-56c8-7fdc994ad730,1HG23685072269290,CA-2026-1000067,4854.39,13295.99,0.365,0.31,repair
bd707356-ccd9-4f67-a4be-20d15c15fd07,1HG48016632138751,CA-2026-1000068,2817.97,23143.03,0.122,0.16,repair
0984a7b6-2342-4b7a-5088-2fa1fd8b24be,1HG92420553509145,CA-2026-1000069,17312.7,19024.94,0.91,0.89,total-loss-probable
8bf807aa-ef1a-4693-7f47-67eaff0926f7,1HG24430487700738,CA-2026-1000070,2849.65,26701.41,0.107,0.06,repair
761e13d5-68b5-4ff8-140d-efc8d5b0b2b4,1HG96955777122639,CA-2026-1000071,8548.95,10584.99,0.808,0.73,total-loss-probable
326c87fc-d93a-41f2-f23c-234b4371bd2b,1HG41483992687426,CA-2026-1000072,10437.53,22531.82,0.463,0.45,repair
cf9811a6-3a2d-4cce-ff48-d1828e8a0d0e,1HG10587657080031,CA-2026-1000073,1698.56,8142.56,0.209,0.23,repair
b7fee984-a071-40eb-b607-884a183e3553,1HG47493818006478,CA-2026-1000074,7249.07,17221.67,0.421,0.43,repair
0c607850-3178-4208-bc23-8dd0b44f95b0,1HG29926044656895,CA-2026-1000075,6073.93,16545.3,0.367,0.33,repair
05fab6e9-8e29-433d-b94a-b34d7b36bdfe,1HG94858008716255,CA-2026-1000076,16430.23,16108.07,1.02,0.98,total-loss-probable
486f3fb3-0776-44e5-4d4a-d912a93e3870,1HG82640720647759,CA-2026-1000077,6845.54,29567.75,0.232,0.19,repair
5ff82686-5eb3-4c4e-86c8-3cf5bf608ec1,1HG20675559132359,CA-2026-1000078,1663.03,20948.05,0.079,0.07,repair
6e53463e-08ff-406b-c027-e9603b33f229,1HG87191083352081,CA-2026-1000079,2081.25,13407.14,0.155,0.2,repair
c162f9d6-d884-47d8-7871-8f5f37c8ea0b,1HG96955777122639,CA-2026-1000080,2898.84,10584.99,0.274,0.29,repair
b0e20bf8-7ac0-4b7a-67c9-30e06f5aff90,1HG45726010925136,CA-2026-1000081,2501.21,14557.86,0.172,0.12,repair
43bba258-a065-4409-c18a-110041047d62,1HG30108438595198,CA-2026-1000082,28845.95,31698.84,0.91,0.9,total-loss-probable
821e3779-15de-45d2-cab4-df1d1c0518c8,1HG45098959887400,CA-2026-1000083,4612.42,25955.46,0.178,0.21,repair
f5335244-0d3f-4840-5fcc-2136fcaf7ec9,1HG48963962239213,CA-2026-1000084,5263.39,9689.71,0.543,0.5,repair
c2f34cf6-140e-4c36-5f6f-8730cde17bef,1HG73373884567990,CA-2026-1000085,7634.95,9035.88,0.845,0.8,total-loss-probable
7fef2795-1936-4779-68fb-5c1b3b73dab7,1HG48963962239213,CA-2026-1000086,7197.56,9689.71,0.743,0.69,repair
982764c1-a7b1-49a9-e2b1-040024281042,1HG89500937308184,CA-2026-1000087,6543.96,30606.37,0.214,0.16,repair
ff661fe3-7379-4e5e-d7b1-640ad75c46ec,1HG92161830584518,CA-2026-1000088,2166.5,24117.11,0.09,0.05,repair
28bd59e4-dae4-4a47-4448-0d7dde1f1e46,1HG78279062849469,CA-2026-1000089,2500.73,22199.08,0.113,0.14,repair
ea7469fa-1424-4698-d2e1-a0badaa6f026,1HG47270451742224,CA-2026-1000090,4991.18,24141.36,0.207,0.22,repair
716a27d7-87ae-47b5-7686-03ab891254a1,1HG14148858562111,CA-2026-1000091,5903.32,18178.66,0.325,0.27,repair
465b8c5d-b512-40c3-2139-ae6d6781591c,1HG66632919316180,CA-2026-1000092,4792.54,13240.53,0.362,0.33,repair
ec2fda78-0d6c-4a78-0197-42b423a4bf84,1HG01378562534227,CA-2026-1000093,4812.1,22204.25,0.217,0.22,repair
24323cd5-55b4-41da-d549-757b25bea095,1HG32921946630813,CA-2026-1000094,6459.81,21308.92,0.303,0.3,repair
ce0f8313-2be1-41ce-a25c-1b04425af349,1HG22014972358010,CA-2026-1000095,4338.87,21793.29,0.199,0.16,repair
23dda94f-32c8-4062-41af-3c8f642d676f,1HG47748700855299,CA-2026-1000096,4907.87,6212.51,0.79,0.79,total-loss-probable
d227c477-3e18-4a66-919d-68baabb7eb1f,1HG43783786077983,CA-2026-1000097,10424.36,10858.71,0.96,0.95,total-loss-probable
2a93ecbe-e499-43f1-9ebe-d0ba6eec0fb1,1HG23685072269290,CA-2026-1000098,3281.55,13295.99,0.247,0.25,repair
02594043-626f-46d9-3d7d-9f282b7603f1,1HG62390112574212,CA-2026-1000099,6976.37,25573.86,0.273,0.21,repair
